Entry ID;Source ID;MC species;MC variety;MC latin;CC species;CC variety;CC latin;Location;Year;Intercropping design;Width;Distance to the CC;Relative density;Density design;RSD;RHD;SH period;System;Fertilizer type;Fertilizer detail;N dose;N unit;Pest management type;AES;Sub-category;Metric;Unit;Treatment value;Treatment MV;Control value;Control MV;MV metric;n_Treatment;n_Control;Relationship;Comment;Entered by;Reviewed by;summary of the data;source document;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-111;166;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;25941,13757;6038,242542;29173,61111;3881,764307;SD;4;4;Positive;;TLN;;fresh yield per unit of area;2018_cabbage_yield_NPK.xlsx;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-111;166;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;kg;1,180296744;0,173397629;1,010745962;0,059021786;SD;4;4;Positive;;TLN;;fresh yield per plant;2018_cabbage_yield_NPK.xlsx;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-80;135;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;kg;1,219375;0,011490485;0,936666667;0,008826452;SD;2;1;Positive;;TLN;;fresh marketable weight;2019_02_19_alllocations_damagefmw.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-80;135;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);2,7725;0,125511454;6,525;0,295387641;SD;2;1;Negative;;TLN;;Pest damage to head;2019_02_19_alllocations_damagefmw.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-80;135;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;quality classes or grades (% of marketability);100;0;84,375;0;SD;2;1;Positive;;TLN;;percentage of heads marketable;2019_02_19_alllocations_damagefmw.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-85;140;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;2,559775194;0,298574519;2,565;0,426497362;SD;4;4;Positive;;TLN;;N content ;2018_cabbage_yield_NPK.xlsx;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-85;140;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Product quality;Nutrient quality;P;%;0,453188254;0,020943144;0,4475;0,029860788;SD;4;4;Positive;;TLN;;P;2018_cabbage_yield_NPK.xlsx;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2018;Strip;3;0,375;50;Replacement;-36;-85;140;Organic;Organic;cattle manure;144;kgN/ha;No insecticide;Product quality;Nutrient quality;K;%;2,923922434;0,178040972;2,880625;0,266586251;SD;4;4;Positive;;TLN;;K;2018_cabbage_yield_NPK.xlsx;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2018;Strip;3;0,450;50;Replacement;;-115;161;Organic;Organic;;;;No insecticide;Productivity;Harvested biomass;per plant;g;81,55042857;0,286358433;82,75153098;0,290576017;SD;2;1;Positive;;TLN;;dry yield per plant;2018_11_22_Lelystad_cabbage_all.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2018;Strip;3;0,450;50;Replacement;;-115;161;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;N;%;2,338875;0,031289475;2,02075;0,027033598;SD;2;1;Positive;;TLN;;N content ;2018_11_22_Lelystad_cabbage_all.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2018;Strip;3;0,450;50;Replacement;;-115;161;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;P;%;0,37275;0,008838835;0,3475;0,008240094;SD;2;1;Positive;;TLN;;P;2018_11_22_Lelystad_cabbage_all.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2018;Strip;3;0,450;50;Replacement;;-115;161;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;K;%;2,39675;0,026870058;2,35775;0,026432827;SD;2;1;Positive;;TLN;;K;2018_11_22_Lelystad_cabbage_all.csv;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2018;Strip;3;0,250;50;Replacement;;later;157;Organic;Organic;Pig slurry;267,3;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;kg;0,899071429;0,138693944;0,871666667;0,134466389;SD;2;1;Positive;;TLN;;fresh marketable weight;2019_02_19_alllocations_damagefmw.csv;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2018;Strip;3;0,250;50;Replacement;;later;157;Organic;Organic;Pig slurry;267,3;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);10,75742857;2,39769808;13,90916667;3,100181608;SD;2;1;Negative;;TLN;;Pest damage to head;2019_02_19_alllocations_damagefmw.csv;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2018;Strip;3;0,250;50;Replacement;;later;157;Organic;Organic;Pig slurry;267,3;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;quality classes or grades (% of marketability);100;0;100;0;SD;2;1;Positive;;TLN;;percentage of heads marketable;2019_02_19_alllocations_damagefmw.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-101;165;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;34589,6164;6506,187644;36788,09524;15846,66095;SD;4;4;Positive;;TLN;;fresh yield per unit of area;2019_10_16_Droevendaal_cabbage_yield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-101;165;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;kg;1,383388911;0,123028186;1,466482941;0,375896215;SD;4;4;Positive;;TLN;;fresh yield per plant;2019_10_16_Droevendaal_cabbage_yield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;6;0,375;50;Replacement;-230;-101;165;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;42660,71429;221,6723639;16507,93651;85,77806;SD;2;1;Positive;;TLN;;fresh yield per unit of area;2019_10_16_Droevendaal_cabbage_yield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;6;0,375;50;Replacement;-230;-101;165;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;kg;1,49980523;0,065644238;0,976798697;0,042753022;SD;2;1;Positive;;TLN;;fresh yield per plant;2019_10_16_Droevendaal_cabbage_yield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;g;797,5;21,26034389;845,9652778;239,8669818;SD;2;6;Positive;;TLN;;fresh marketable weight;2019_Cabbage_Droevendaal_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);0,056869733;0,010497203;0,043384006;0,030736815;SD;2;6;Negative;;TLN;;Pest damage to head;2019_Cabbage_Droevendaal_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;quality classes or grades (% of marketability);71,875;4,419417382;75;22,36067977;SD;2;6;Negative;;TLN;;percentage of heads marketable;2019_Cabbage_Droevendaal_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Product quality;Nutrient quality;N;%;2,758333333;0,087761514;2,8075;0,10347101;SD;3;3;Positive;;TLN;;N content ;experiment cabyield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Product quality;Nutrient quality;P;%;0,412916667;0,013712069;0,424166667;0,005204165;SD;3;3;Positive;;TLN;;P;experiment cabyield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2019;Strip;3;0,375;50;Replacement;-230;-83;147;Organic;Organic;cattle manure;108;kgN/ha;No insecticide;Product quality;Nutrient quality;K;%;2,925416667;0,090875373;3,083333333;0,146933942;SD;3;3;Positive;;TLN;;K;experiment cabyield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-70;148;Organic;Organic;;;;No insecticide;Productivity;Harvested biomass;per plant;kg;0,103607451;0,00614233;0,106831165;0,006733631;SD;2;2;Positive;;TLN;;dry yield per plant;2019_Cabbage_Lelystad_Yield.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-90;168;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;N;%;2,752898686;0,058373105;2,354608085;0,066974224;SD;2;2;Positive;;TLN;;N content ;2019_Cabbage_Lelystad_NPK.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-90;168;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;P;%;0,419567749;0,013627163;0,404240361;0,02213871;SD;2;2;Positive;;TLN;;P;2019_Cabbage_Lelystad_NPK.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-90;168;Organic;Organic;;;;No insecticide;Product quality;Nutrient quality;K;%;3,049263022;0,062607985;2,753455854;0,130086605;SD;2;2;Positive;;TLN;;K;2019_Cabbage_Lelystad_NPK.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-64;142;Organic;Organic;;;;No insecticide;Productivity;Saleable biomass;per plant;g;1003,008929;90,69907159;1249,779464;218,8850166;SD;2;4;Positive;;TLN;;fresh marketable weight;2019_Cabbage_Lelystad_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-64;142;Organic;Organic;;;;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);0,675372569;0,955121046;2,932734511;0,563598098;SD;2;4;Negative;;TLN;;Pest damage to head;2019_Cabbage_Lelystad_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Lelystad, Netherlands;2019;Strip;3;0,450;50;Replacement;;-64;142;Organic;Organic;;;;No insecticide;Product quality;Marketability and commercial quality;Grading;quality classes or grades (% of marketability);93,75;8,838834765;90,625;11,96783885;SD;2;4;Positive;;TLN;;percentage of heads marketable;2019_Cabbage_Lelystad_Injury Assessment.csv;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;kg;2,79665054;0,425499559;2,86452105;0,371293902;SD;4;4;Positive;;TLN;;total fresh yield per plant;2019_10_07_Strijen_cabbage_yield;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;116197,2222;22681,28682;135772,2222;19949,08437;SD;4;4;Positive;;TLN;;total fresh  yield per unit of area;2019_10_07_Strijen_cabbage_yield;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;kg;1,596219742;0,212159402;1,622984987;0,130644189;SD;4;4;Positive;;TLN;;marketable fresh yield per plant;2019_10_07_Strijen_cabbage_yield;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Productivity;Saleable biomass;per unit of area;kg/ha;64952,77778;11103,91387;73222,22222;9284,120697;SD;4;4;Positive;;TLN;;marketable fresh  yield per unit of area;2019_10_07_Strijen_cabbage_yield;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;quality classes or grades (% of marketability);97,99375971;3,354175056;94,66702279;3,870600986;SD;4;4;Positive;;TLN;;percentage of markeatble heads;2019_10_07_Strijen_cabbage_yield;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Product quality;Nutrient quality;N;;1,8757757;0,137594291;1,613457236;0,118352373;SD;4;1;Positive;;TLN;;N content ;2019_12_06_Strijen_cabbage_NPK;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Product quality;Nutrient quality;P;;0,28494478;0,026159797;0,289147804;0,026545662;SD;4;1;Positive;;TLN;;P;2019_12_06_Strijen_cabbage_NPK;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Product quality;Nutrient quality;K;;2,531506117;0,095468216;2,525319692;0,095234914;SD;4;1;Positive;;TLN;;K;2019_12_06_Strijen_cabbage_NPK;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;kg;1377,675;186,3066973;1369,416667;185,1899007;SD;4;1;Positive;;TLN;;fresh marketable weight;2018_2019_Cabbage_Strijen_Injury Assessment.csv;;;
;Strijen;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Grass and clover;;;Strijen, Netherlands;2019;Strip;3;0,25;50;Replacement;-33;later;156;Organic;Organic;Pig slurry + dry cattle manure;262,5;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Pest damage;all pests (%);12,09297063;5,152072298;8,83197549;3,76276249;SD;4;1;Negative;;TLN;;Pest damage to head;2018_2019_Cabbage_Strijen_Injury Assessment.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2020;Strip;3;0,375;50;Replacement;-210;-118;185;Organic;Organic;cattle manure;221;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;kg/ha;19348,6552;6647,493704;25673,86831;9255,726578;SD;4;4;Positive;;TLN;;yield per ha (KG);Droevendaal_cabbage_yield_allharvests_2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2020;Strip;3;0,375;50;Replacement;-210;-118;185;Organic;Organic;cattle manure;221;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;kg;1,379589985;0,342437873;1,158197488;0,260893523;SD;4;4;Positive;;TLN;;yield per plant (KG);Droevendaal_cabbage_yield_allharvests_2020.csv;;;
;Droev&Broek;Cabbage;White cabbage;Brassica oleracea var. capitata f. alba;Wheat;;Triticum eastivum ;Wageningen, Netherlands;2020;Strip;3;0,375;50;Replacement;-210;-77;144;Organic;Organic;cattle manure;221;kgN/ha;No insecticide;Productivity;Saleable biomass;per plant;g;414,2083333;110,6032857;549,8792517;97,40694138;SD;2;7;Positive;;TLN;;marketable weight per plant (kg);Droevendaal plant data 2020.csv;;;
