Entry ID;Source ID;MC species;MC variety;MC latin;CC species;CC variety;CC latin;Location ;Year;Intercropping design;Width;Distance to the CC;Relative density  ;Density design;RSD;RHD;SH period;System;Fertilizer type;Fertilizer detail;N dose;N unit;Pest management type;AES;Sub-category;Metric;Unit;Treatment value;Treatment MV;Control value;Control MV;MV metric;n_Treatment;n_Control;Relationship;Comment;Entered by;Reviewed by
1;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Green onion;;Allium fistulosum L. ‘Todo Ano’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-8;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;133,9;78,382;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
2;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Coriander;;Coriandrum sativum L. ‘Verdao’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-7;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;251,4;78,382;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
3;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Basil;;Ocimum basilicum L. ‘Italiano’;Fortaleza, Brazil;2015;Row;0,3;0,3;100%;Additive;-3;-3;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;82,2;78,835;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
4;Hendges,2019;Cabbage;Kale;Brassica oleracea L. var. acephala DC ‘Manteiga da Georgia’;Parsley;;Petroselinum crispum (Mill.) Nym. ‘Grauda Portuguesa’;Fortaleza, Brazil;2015;Row;0,1;0,1;100%;Additive;-8;-23;+70;No chemicals;Organic;mixed compost;NA;NA;No insecticide;Productivity;Saleable biomass;per unit of area;Kg/ha;526,1;77,023;313,6;77,249;Unknown;5;5;Positive;;TLN;JCR
5;Filho,2017;Cabbage;Kale;Brassica oleracea L. var. acephala ‘Top Bunch’;New Zealand Spinach;;Tetragonia expansa ‘Nova Zelandia’;Jaboticabal, Brazil;2014;Row;0,25;0,25;100%;Additive;Variable (from 0 to +98);later;Broadly variable;Conventional;Synthetic;Urea;200;kgN/ha;unspecified product;Productivity;Harvested biomass;per unit of area;t/ha;67,09;NA;68,06;NA;;32;32;Positive;n=32 because is the mean of 8 DAT treatments * 4 reps;TLN;JCR
6;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_1 ‘;Pure, Latvia;2014;Row;0,25;0,25;100%;Additive;-44;-2;+137;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;1,63;0,4;1,69;0,4;LSD;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
7;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_2’;Pure, Latvia;2014;Row;0,25;0,25;100%;Additive;-44;-2;+137;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;1,27;0,4;1,69;0,4;LSD;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
8;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_1 ‘;Pure, Latvia;2015;Row;0,25;0,25;100%;Additive;-42;-7;+142;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;2,91;NA;2,22;NA;;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
9;Lepse,2017;Cabbage;;Brassica oleracea var. capitata L. ‘Jaguar’;Faba bean;;Vicia faba L. ‘VF_2’;Pure, Latvia;2015;Row;0,25;0,25;100%;Additive;-42;-7;+142;No chemicals;No fertilization;No amendment;0;kgN/ha;NA;Productivity;Saleable biomass;per unit of area;kg/m²;2,31;NA;2,22;NA;;4;4;Positive;Faba bean row intercropping in vegetable strip cropping. Compared to unfertilised control;TLN;JCR
10;Yadav,2016;Cabbage;Sprouting broccoli;Brassica oleracea var. italica L. ‘CBH-1’;Beet;Beet leaf;Beta vulgaris subsp. Vulgaris ‘HS-23’;Hisar, India;2013-2014;Row;0,225;0,225;100%;Additive;+5;-15;+55;Organic;Organic;Mixed;NA;NA;NA;Productivity;Harvested biomass;per plant;g/plant;532,3;NA;564,8;NA;;9;9;Positive;n=3reps* across3manure tr=9;JCR;JCR
