"Response","Model","AIC","BIC","REML","ML","LogLikelihood"
"Biodiversity","A_null",24170.3993474553,24173.5867332611,NA,NA,-12084.1996737277
"Biodiversity","B_minimal_random",14775.9836543991,14782.3584260108,NA,NA,-7385.99182719956
"Biodiversity","C_fixed_effects",14129.2227170549,14156.728929303,NA,NA,-7055.61135852743
"Biodiversity","D_random_effects",14125.2731793088,14155.8356373623,NA,NA,-7052.63658965439
"Biodiversity","E_random_effects_interaction",14127.2955251868,14160.8439412666,NA,NA,-7052.64776259342
"Biodiversity","F_full",14128.821397761,14165.4963474252,NA,NA,-7052.4106988805
"Biodiversity","G_full_interaction",14130.5579669176,14170.2060950119,NA,NA,-7052.2789834588
"Greenhouse gas emission","A_null",5437.01058252294,5439.57493071441,NA,NA,-2717.50529126147
"Greenhouse gas emission","B_minimal_random",5439.01058646587,5444.1392828488,NA,NA,-2717.50529323293
"Greenhouse gas emission","C_fixed_effects",2280.86970378594,2293.47864667118,NA,NA,-1135.43485189297
"Greenhouse gas emission","D_random_effects",2282.86970378594,2298.00043524823,NA,NA,-1135.43485189297
"Greenhouse gas emission","E_random_effects_interaction",2288.13894839918,2305.7149649448,NA,NA,-1137.06947419959
"Greenhouse gas emission","F_full",2286.86970378594,2307.04401240233,NA,NA,-1135.43485189297
"Greenhouse gas emission","G_full_interaction",2292.13894839916,2314.73668395782,NA,NA,-1137.06947419958
"Product quality","A_null",-290.956096822715,-288.292657728603,NA,NA,146.478048411358
"Product quality","B_minimal_random",-299.568457825874,-294.24157963765,NA,NA,151.784228912937
"Product quality","C_fixed_effects",-251.436843501023,-228.172136192987,NA,NA,134.718421750511
"Product quality","D_random_effects",-255.155035949193,-229.305361162488,NA,NA,137.577517974597
"Product quality","E_random_effects_interaction",-220.089816186039,-177.405204575252,NA,NA,127.044908093019
"Product quality","F_full",-254.546144448888,-223.526534704841,NA,NA,139.273072224444
"Product quality","G_full_interaction",-216.089816186042,-168.383485562222,NA,NA,127.044908093021
"Crop yield","A_null",4134.42252338551,4138.0501444992,NA,NA,-2066.21126169275
"Crop yield","B_minimal_random",2355.59809948861,2362.85334171599,NA,NA,-1175.7990497443
"Crop yield","C_fixed_effects",2665.25159061778,2701.19870441379,NA,NA,-1322.62579530889
"Crop yield","D_random_effects",2343.75238850724,2383.29421368286,NA,NA,-1160.87619425362
"Crop yield","E_random_effects_interaction",2401.15290607273,2533.73253966668,NA,NA,-1162.57645303637
"Crop yield","F_full",2342.18613086441,2388.91737879923,NA,NA,-1158.0930654322
"Crop yield","G_full_interaction",2403.31383647495,2542.87134552122,NA,NA,-1161.65691823748
"Pest and Disease","A_null",27487.1789829699,27489.0501839809,NA,NA,-13742.589491485
"Pest and Disease","B_minimal_random",14517.3395651919,14521.0819672137,NA,NA,-7256.66978259594
"Pest and Disease","C_fixed_effects",14129.6401451761,14140.2073458702,NA,NA,-7058.82007258804
"Pest and Disease","D_random_effects",14122.4669153499,14134.7953161597,NA,NA,-7054.23345767494
"Pest and Disease","E_random_effects_interaction",14122.4669153499,14134.7953161597,NA,NA,-7054.23345767494
"Pest and Disease","F_full",14126.466915485,14142.3177165262,NA,NA,-7054.23345774248
"Pest and Disease","G_full_interaction",14126.466915485,14142.3177165262,NA,NA,-7054.23345774248
"Soil quality","A_null",881830.826343092,881834.34780401,NA,NA,-440914.413171546
"Soil quality","B_minimal_random",31171.0923602154,31178.1352820511,NA,NA,-15583.5461801077
"Soil quality","C_fixed_effects",34059.6358614566,34091.036300992,NA,NA,-17020.8179307283
"Soil quality","D_random_effects",30933.6410492161,30968.5304264777,NA,NA,-15456.8205246081
"Soil quality","E_random_effects_interaction",30924.6447427682,30969.8387689433,NA,NA,-15449.3223713841
"Soil quality","F_full",30937.6477132984,30979.5149660123,NA,NA,-15456.8238566492
"Soil quality","G_full_interaction",30928.6447430611,30980.7916963401,NA,NA,-15449.3223715305
"Water quality","A_null",1408.15679456153,1411.01660696589,NA,NA,-703.078397280763
"Water quality","B_minimal_random",1200.0087608441,1205.72838565283,NA,NA,-598.004380422052
"Water quality","C_fixed_effects",1261.91540766379,1273.26053529159,NA,NA,-626.957703831893
"Water quality","D_random_effects",1219.21288584609,1233.39429538085,NA,NA,-604.606442923046
"Water quality","E_random_effects_interaction",1219.21288584609,1233.39429538085,NA,NA,-604.606442923046
"Water quality","F_full",1219.21288584389,1233.39429537864,NA,NA,-604.606442921944
"Water quality","G_full_interaction",1219.21288584389,1233.39429537864,NA,NA,-604.606442921944
