"Response","Model","AIC","BIC","REML","ML","LogLikelihood"
"Biodiversity","null",NA,NA,NA,NA,-12084.1996737277
"Biodiversity","fixed_no_intercept",NA,NA,NA,NA,-7055.61135852743
"Biodiversity","random_effects",NA,NA,NA,NA,-7052.63658965439
"Biodiversity","full_no_intercept",NA,NA,NA,NA,-7052.41069888272
"Greenhouse gas emission","null",NA,NA,NA,NA,-2717.50529126147
"Greenhouse gas emission","fixed_no_intercept",NA,NA,NA,NA,-1135.43485189297
"Greenhouse gas emission","random_effects",NA,NA,NA,NA,-1135.43485189297
"Greenhouse gas emission","full_no_intercept",NA,NA,NA,NA,-1135.43485189297
"Product quality","null",NA,NA,NA,NA,146.478048411358
"Product quality","fixed_no_intercept",NA,NA,NA,NA,134.718421750511
"Product quality","random_effects",NA,NA,NA,NA,137.577517974597
"Product quality","full_no_intercept",NA,NA,NA,NA,139.27307222441
"Crop yield","null",NA,NA,NA,NA,-2066.21126169275
"Crop yield","fixed_no_intercept",NA,NA,NA,NA,-1322.62579530889
"Crop yield","random_effects",NA,NA,NA,NA,-1160.87619425362
"Crop yield","full_no_intercept",NA,NA,NA,NA,-1158.09306543222
"Pest and Disease","null",NA,NA,NA,NA,-13742.589491485
"Pest and Disease","fixed_no_intercept",NA,NA,NA,NA,-7058.82007258804
"Pest and Disease","random_effects",NA,NA,NA,NA,-7054.23345767494
"Pest and Disease","full_no_intercept",NA,NA,NA,NA,-7054.23345774266
"Soil quality","null",NA,NA,NA,NA,-440914.413171546
"Soil quality","fixed_no_intercept",NA,NA,NA,NA,-17020.8179307283
"Soil quality","random_effects",NA,NA,NA,NA,-15456.8205246081
"Soil quality","full_no_intercept",NA,NA,NA,NA,-15456.8239046053
"Water quality","null",NA,NA,NA,NA,-703.078397280763
"Water quality","fixed_no_intercept",NA,NA,NA,NA,-626.957703831893
"Water quality","random_effects",NA,NA,NA,NA,-604.606442923046
"Water quality","full_no_intercept",NA,NA,NA,NA,-604.606442921725
