"Term","Estimate","SE","Zval","Pval","CI.Lower","CI.Upper","Moderator","ResponseVariable"
"intrcpt",0.052853151767143,0.0451826850089854,1.16976562496523,0.242095300636506,-0.0357032835752862,0.141409587109572,"tree_type","Biodiversity"
"tree_typeFruit,nut & other",0.0155482391819679,0.0833511202942468,0.186539054629133,0.852022055124018,-0.147816954665821,0.178913433029757,"tree_type","Biodiversity"
"tree_typeTimber",-0.0130581234845633,0.0100590038422561,-1.2981527484569,0.194234851409468,-0.0327734087357352,0.00665716176660865,"tree_type","Biodiversity"
"intrcpt",0.0247345630548077,0.0393793570192692,0.628109876012058,0.529931963845084,-0.0524475584373045,0.10191668454692,"crop_type","Biodiversity"
"crop_typeLegume",0.072635720753955,0.0702062217730658,1.03460518055995,0.300853333636846,-0.0649659454118858,0.210237386919796,"crop_type","Biodiversity"
"intrcpt",0.0386787769968653,0.048550243179221,0.796675247415021,0.42563966315705,-0.0564779510750692,0.1338355050688,"age_system","Biodiversity"
"age_systemMedium",-0.053024140270271,0.0120420107971126,-4.40326297357124,1.06634777545481e-05,-0.0766260477340541,-0.0294222328064878,"age_system","Biodiversity"
"age_systemYoung",0.0926915103241526,0.0324246108335797,2.85867765074791,0.00425410831871349,0.0291404408776092,0.156242579770696,"age_system","Biodiversity"
"intrcpt",0.107321282070188,0.0524854436172695,2.04478184185291,0.0408763707190644,0.00445170286773178,0.210190861272643,"season","Biodiversity"
"seasonWinter",-0.113774075022847,0.0752176446290041,-1.51259821527269,0.130381747809456,-0.261197949497628,0.0336497994519336,"season","Biodiversity"
"intrcpt",0.0215254517720245,0.0457228828600804,0.470780721283388,0.637797333117378,-0.0680897519030769,0.111140655447126,"soil_texture","Biodiversity"
"soil_textureSand",0.0787235979823595,0.0806836436190651,0.975707026247356,0.329209669347371,-0.0794134376524731,0.236860633617192,"soil_texture","Biodiversity"
"soil_textureSilt",0.128304537307055,0.0810096259570338,1.58381841406237,0.113235047645185,-0.0304714119697924,0.287080486583902,"soil_texture","Biodiversity"
"intrcpt",0.0105348631170909,0.0604390932473689,0.174305446211331,0.861625419307493,-0.10792358290601,0.128993309140192,"tree_type","Greenhouse gas emission"
"tree_typeFruit,nut & other",-0.00114623280374499,0.0833367557026359,-0.0137542287803355,0.989026059217686,-0.164483272569324,0.162190806961834,"tree_type","Greenhouse gas emission"
"intrcpt",0.00492233975828647,0.00129019145944949,3.81520100930352,0.000136072123301658,0.0023936109646043,0.00745106855196863,"crop_type","Greenhouse gas emission"
"crop_typeTuber,root and other",-0.0872638875568318,0.00441597402097533,-19.7609603549158,6.45646344978243e-87,-0.095919037594608,-0.0786087375190556,"crop_type","Greenhouse gas emission"
"intrcpt",0.00684261240443345,0.00127976705907959,5.34676397230811,8.95406565863908e-08,0.00433431506003671,0.00935090974883018,"age_system","Greenhouse gas emission"
"age_systemMedium",-0.0481109854605559,0.00294904074956266,-16.3141134851022,7.83351727053086e-60,-0.0538909991186398,-0.0423309718024721,"age_system","Greenhouse gas emission"
"intrcpt",0.00939373554494724,0.00127042791482595,7.39415077024202,1.423148622471e-13,0.00690374258693407,0.0118837285029604,"season","Greenhouse gas emission"
"intrcpt",0.0694229735937108,0.00312758639651044,22.1969802884322,3.67311895644032e-109,0.0632930168980129,0.0755529302894087,"soil_texture","Greenhouse gas emission"
"soil_textureSand",-0.0563390775336963,0.00268236053102045,-21.0035440359925,6.08709790638043e-98,-0.0615964075680481,-0.0510817474993445,"soil_texture","Greenhouse gas emission"
"intrcpt",-0.0221532271823397,0.0112335308081656,-1.97206270767839,0.0486024484604917,-0.0441705429855654,-0.000135911379114007,"tree_type","Product quality"
"tree_typeFruit,nut & other",0.0094722975334756,0.009127170765464,1.0378131161211,0.299357069266186,-0.00841662844758072,0.0273612235145319,"tree_type","Product quality"
"tree_typeTimber",-0.0188676390890576,0.0305991657648522,-0.616606322997535,0.537494422926557,-0.0788409019451389,0.0411056237670238,"tree_type","Product quality"
"intrcpt",-0.0196226176919781,0.00851534444797012,-2.30438331788865,0.0212011356138648,-0.0363123861259526,-0.00293284925800352,"crop_type","Product quality"
"crop_typeLegume",-0.00297388372644729,0.00931638009945411,-0.319210218421803,0.749567108806833,-0.021233653187663,0.0152858857347685,"crop_type","Product quality"
"crop_typeTuber,root and other",0.00624242316628985,0.00847741424934175,0.736359340558893,0.461512041954313,-0.0103730034444466,0.0228578497770263,"crop_type","Product quality"
"intrcpt",-0.0198002830479033,0.0102369249432124,-1.93420222945288,0.0530882683962762,-0.0398642872490394,0.00026372115323281,"age_system","Product quality"
"age_systemYoung",-0.000909749808059717,0.00744119320789269,-0.122258592492232,0.902694224332452,-0.0154942204975335,0.013674720881414,"age_system","Product quality"
"intrcpt",-0.0152606885037232,0.0109086546749848,-1.39895238765953,0.161827261258516,-0.0366412587864778,0.00611988177903141,"season","Product quality"
"seasonWinter",-0.00658778689178548,0.00592233685011888,-1.11236274776455,0.265982214805447,-0.0181953538223329,0.00501978003876191,"season","Product quality"
"intrcpt",-0.0166524430202479,0.0150119025360449,-1.10928264956849,0.26730826757127,-0.0460752313303213,0.0127703452898256,"soil_texture","Product quality"
"soil_textureSand",-0.0151550755866873,0.0221254540117358,-0.684961112149325,0.493368460651379,-0.0585201685912866,0.0282100174179121,"soil_texture","Product quality"
"soil_textureSilt",-0.00403863879081815,0.0226662942404766,-0.178178168339759,0.858583054510783,-0.0484637591651399,0.0403864815835036,"soil_texture","Product quality"
"intrcpt",-0.028055698732313,0.0112441346228754,-2.49514077101458,0.0125907169295493,-0.0500937976304686,-0.00601759983415738,"tree_type","Crop yield"
"tree_typeFruit,nut & other",0.0212073185825264,0.00908025002471365,2.33554346243843,0.0195150481833317,0.00341035556346867,0.039004281601584,"tree_type","Crop yield"
"tree_typeTimber",0.00695437857409441,0.00369623447916488,1.88147657116863,0.0599071194002428,-0.000290107883483921,0.0141988650316727,"tree_type","Crop yield"
