Observed_Outcome,Cooks_Distance
1,5.2125062855150006e-5
2,1.1123678416365638e-4
3,1.172095300966313e-4
4,3.1577001466891535e-5
5,1.6502543707284194e-4
6,1.5405996377387863e-5
7,2.54471291374496e-6
8,0.371685003279289
9,9.508933261343903e-6
10,9.546183328986991e-7
11,3.465237850158725e-9
12,2.640402031658479e-7
13,3.510573539051883e-7
14,1.811844880458454e-8
15,3.831730487484957e-5
16,3.159243735157502e-6
17,9.045822465864593e-6
18,5.874027241973524e-9
19,8.036890515693428e-8
20,7.3831450098689895e-6
21,2.932796677047759e-6
22,0.06504856760763639
23,1.1327057626573213e-4
24,1.3300387944839668e-4
25,8.466042663211502e-5
26,7.195621881579974e-5
27,5.550858505418178e-5
28,1.3680405398909015e-5
29,1.3183115464772063e-4
30,5.66645672178839e-4
31,7.363035942202541e-6
32,2.3152372480060058e-6
33,1.516807853244881e-5
34,1.7455764816225432e-6
35,1.4236030426033441e-5
36,1.3388074293490546e-6
37,1.784889608071231e-7
38,2.4554442790259847e-5
39,2.988862480790281e-5
40,1.4853100872518998e-6
41,1.6642378574411018e-7
42,2.0181805817217056e-5
43,1.6653331742539392e-5
44,1.4947465692364466e-4
45,8.771463147735629e-6
46,1.476003343074041e-5
47,3.150293623678209e-5
48,1.4811606162128644e-5
49,2.388454891597473e-10
50,4.511073545730591e-10
51,7.75010807026777e-10
52,5.40034435172365e-10
53,4.5952661561313737e-10
54,4.632346729809502e-10
55,1.0984987021712651e-11
56,2.144695129245961e-8
57,3.1405704530091603e-8
58,2.201485321716956e-8
59,9.9475020704319e-10
60,1.778579700306198e-8
61,4.791605982423748e-9
62,1.0754956131172694e-9
63,7.773735371582724e-8
64,1.196754243752504e-7
65,2.521339909107469e-11
66,1.3474311578922226e-9
67,7.010907381387102e-11
68,1.8615455452175406e-11
69,1.3151247204956722e-10
70,1.390922214278436e-9
71,2.556744729283999e-10
72,1.3195180160170213e-13
73,1.7298661990460144e-12
74,2.298469465454087e-10
75,4.488856079569443e-10
76,1.3488440765526996e-10
77,2.7177057546870366e-10
78,3.5346545233652856e-10
79,6.123506824615348e-10
80,4.855711305351299e-10
81,2.0148116306130152e-10
82,1.432555272352863e-10
83,1.6248539647247252e-10
84,2.848287223137393e-10
85,3.460332613681008e-10
86,2.7625809578463745e-10
87,3.17453944027317e-10
88,1.8993290291740833e-10
89,1.189154441063428e-11
90,5.366645083050548e-12
91,1.0917761969174392e-8
92,1.381480996375181e-10
93,3.580322218167059e-10
94,8.68741500922763e-11
95,1.1173473314539184e-9
96,7.681751512009679e-9
97,1.699360328195517e-8
98,3.164396536540815e-8
99,2.0404238652538418e-8
100,9.744907577077863e-9
101,1.2367854889146952e-9
102,2.3068997839887723e-9
103,3.2457197617692e-8
104,2.2311322525475302e-8
105,9.90542683467237e-9
106,7.012180348205322e-10
107,9.070454362515161e-9
108,5.918689573306924e-11
109,1.805201374256613e-10
110,8.190997805263943e-10
111,5.184332131929822e-10
112,2.0841091685263882e-10
113,4.3232661867064356e-12
114,5.466108583786724e-13
115,6.978035023361115e-10
116,1.0666109153869402e-8
117,9.712806910124215e-10
118,3.2404742773478725e-8
119,1.1531184213560713e-8
120,2.1758108728907242e-09
121,2.938768193832656e-9
122,1.0298202195626672e-8
123,8.627417081286671e-10
124,7.633759542688999e-12
125,2.6130776459930845e-11
126,1.224357416189057e-9
127,6.148150320421799e-11
128,4.696817157345162e-10
129,9.127861375228026e-11
130,3.3782290890401497e-10
131,1.0921260315192383e-10
132,3.884611162265171e-15
133,1.5673409961045793e-13
134,9.985507340437455e-12
135,1.7312181711205614e-12
136,1.0336568376749034e-9
137,9.397721151087364e-10
138,1.9181577747832717e-9
139,4.561573526791057e-10
140,4.162070879707736e-11
141,1.5857691781508962e-10
142,3.816508964790786e-10
143,2.4284269325455143e-10
144,4.995838500655669e-11
145,8.978184158506846e-11
146,1.6014146632895358e-11
147,1.852441353951717e-15
148,8.405365678402403e-11
149,1.5548903987610406e-11
150,1.8033276636820006e-11
151,5.839166133781185e-10
152,6.847680522016387e-10
153,2.481476062162186e-10
154,3.170022001460818e-11
155,2.5137883664730004e-10
156,4.5464128662933165e-10
157,5.145975591522294e-10
158,5.004591022945168e-10
159,3.922798900214372e-10
160,1.7773007655774008e-10
161,2.7358536040582085e-10
162,1.4764065753772417e-10
163,1.630528563015168e-10
164,6.380921974140898e-11
165,1.2969994938875617e-12
166,2.3854862972446445e-12
167,4.0826287149031684e-10
168,5.20159244906083e-10
169,3.0451377377372783e-10
170,3.9697083742728853e-10
171,1.8092258576591933e-10
172,1.0359912163480476e-10
173,1.651910245414199e-10
174,1.41282783531165e-10
175,0.015498452822042945
176,0.016009797966041607
177,0.06381948752884986
178,4.5339412543473105e-6
179,1.9783453902004e-4
180,0.002225071229421633
181,2.7600265653792046e-4
182,6.241413739025069e-4
183,1.587258338355024e-4
184,5.130932254823646e-4
185,3.581068230829574e-5
186,1.6533080879918937e-4
187,3.2943620507071907e-6
188,2.7806661055223974e-7
189,4.429970061333919e-7
190,2.3501571621500605e-8
191,7.754687939846511e-6
192,3.730299037954274e-10
193,7.465681684193808e-9
194,1.0504349014882262e-7
195,8.9350298735765e-7
196,1.4037847891660869e-7
197,3.583374789333255e-8
198,6.875482156431209e-8
199,1.1556350210767008e-5
200,2.951943547514415e-6
201,1.7059578365416168e-6
202,1.2557466649299966e-6
203,3.26968144836991e-5
204,3.033918073507797e-7
205,1.5151816249431816e-7
206,1.0017935558822917e-6
207,1.0591570844965092e-5
208,8.933657497222861e-7
209,4.839736833185666e-7
210,9.051734878086974e-7
211,3.2476055951163545e-8
212,1.4018760399850341e-8
213,1.3041069700814348e-7
214,5.462502780265698e-6
215,1.5033852007002876e-6
216,1.7401400436306408e-7
217,1.0297986437829089e-6
218,1.0278010082066563e-6
219,9.570002353408668e-7
220,5.260345749733339e-6
221,7.39055938427498e-5
222,9.942982374967514e-8
223,6.434986582203252e-7
224,3.0475171878265665e-7
225,1.253641419721898e-6
226,4.8100778017932545e-8
227,1.7592712226248204e-7
228,5.382924508465743e-11
229,6.971097348389954e-10
230,3.944197462225137e-7
231,3.978917015816946e-7
232,1.3898834707263524e-4
233,2.946027464689954e-5
234,4.525478893386162e-6
235,8.66835063041116e-10
236,1.4261606479079637e-7
237,4.4563305009958396e-8
238,1.1762071469796798e-5
239,1.3949387989202917e-7
240,4.796765577208936e-9
241,6.914584860854641e-7
242,1.986273384914457e-7
243,3.615566788066015e-7
244,1.7367752109518947e-7
245,9.799830652907254e-8
246,3.228058657094211e-6
247,1.1926625720057558e-6
248,1.18732008652242e-6
249,3.22076523738285e-6
250,7.761339831977676e-7
251,1.0589743333337306e-8
252,2.974419154486435e-10
253,3.6307295442405924e-8
254,1.5944306208096012e-7
255,1.3045170639975433e-9
256,1.1541663677583571e-7
257,4.768276818027092e-8
258,1.6517922156972527e-7
259,3.0086256651894887e-9
260,3.6726248691838056e-8
261,2.0686979654907225e-9
262,4.009036831017732e-11
263,2.9936453343231072e-9
264,1.727477204631063e-8
265,8.336795948793648e-10
266,1.6753795682121726e-9
267,3.67707756933441e-14
268,5.068883676739431e-11
269,2.338585020583232e-9
270,2.1674856864704545e-7
271,6.165568986507574e-8
272,1.2827924012126918e-7
273,6.601629105590465e-8
274,4.057978097587544e-8
275,4.700374160425167e-8
276,2.7659729262154037e-8
277,2.968647122294403e-9
278,6.750334109474238e-8
279,1.0153201225224396e-8
280,4.530823043957664e-9
281,2.533629149853021e-8
282,1.385075207304475e-6
283,1.4247480460082362e-7
284,3.292043520708717e-8
285,4.99357029267551e-7
286,2.3597206150732697e-9
287,1.1567688293685713e-8
288,1.0231510781502477e-7
289,7.095197382630877e-8
290,1.035791498195702e-7
291,6.238285288736274e-8
292,5.896651883051004e-8
293,4.077051614839936e-8
294,9.45458287235905e-8
295,8.367968764642769e-10
296,8.085492582948847e-9
297,1.2874548632754817e-9
298,7.585567313388662e-10
299,1.953429129664926e-9
300,4.312616291922862e-8
301,5.7277639960375484e-8
302,4.7879202489956454e-8
303,1.6243670887632908e-8
304,1.799779995544726e-8
305,1.6366790655378587e-8
306,1.8461809060605626e-6
307,7.950320891294783e-8
308,3.702377682105662e-8
309,5.2484077598963914e-8
310,8.086722168065637e-8
311,8.086722168065637e-8
312,6.406827978230881e-8
313,6.850064656490675e-11
314,4.156827562900742e-9
315,1.956128736510904e-10
316,4.3653998922209725e-9
317,3.751525030217837e-8
318,6.160482131684886e-7
319,7.272561521117886e-6
320,4.637962770804442e-7
321,3.0401877149224127e-5
322,6.18884860271826e-6
323,1.5137048720434076e-6
324,1.5737162076616714e-5
325,3.033042424374381e-7
326,1.9041149703128833e-5
327,5.261867964722596e-7
328,1.7494789334629262e-6
329,3.159000954185546e-5
330,4.7279845401472466e-5
331,2.034730002761262e-6
332,1.589943975918589e-8
333,5.117810685019985e-9
334,1.7661459181277544e-8
335,1.4406098990235945e-8
336,1.8556147522073126e-8
337,6.978722008688112e-9
338,1.223617005670366e-5
339,5.923068203603084e-9
340,7.192814643024222e-9
341,6.450632840715282e-9
342,1.2097840767565055e-7
343,5.806108096470519e-10
344,1.0465819311194293e-8
345,1.9110261611071734e-8
346,2.805503699753998e-8
347,8.001243311549327e-12
348,1.9967524286377877e-8
349,2.9341960530821247e-8
350,1.706852072648935e-8
351,2.3599364034004467e-8
352,8.149599162524043e-9
353,1.2909150578079893e-4
354,2.0636638546128135e-9
355,2.5363032765371805e-8
356,3.1548629985423325e-8
357,2.3651930066860565e-8
358,6.144918687442551e-8
359,0.01357173086654687
360,7.063976166285346e-9
361,1.6085201658856425e-8
362,2.644487518967441e-7
363,2.1645859557394048e-7
364,1.3984866850071137e-6
365,3.6282824996658966e-7
366,1.4424638400137163e-6
367,6.018499698274101e-9
368,4.620005546743298e-11
369,7.160281212692454e-7
370,1.2890558944560148e-6
371,4.022589477996597e-6
372,9.010810997385911e-6
373,2.131365774361258e-6
374,9.897913462767792e-7
375,8.147463490308153e-8
376,1.2524301444961446e-6
377,2.179473387075863e-6
378,1.165271278102494e-6
