"Observed_Outcome","Cooks_Distance"
1,0.00171136350667901
2,0.000646233367514456
3,0.00125836432371444
4,4.19931201671358e-05
5,0.00122073991702961
6,4.72885939690031e-06
7,1.50948840008679e-05
8,0.000205705384620395
9,0.000132671285824185
10,9.19750830081775e-06
11,2.73248242324796e-05
12,1.89561662668005e-07
13,1.63332831189701e-06
14,8.47803274946169e-10
15,6.95717821083623e-05
16,0.0106428569507484
17,0.000324949960492979
18,0.00201989533180246
19,3.82745717739769e-05
20,3.90739689912003e-05
21,9.21465928683873e-06
22,1.17768326829366e-05
23,2.51118261019491e-08
24,4.66707077164817e-06
25,9.63242644899658e-08
26,1.58914673321957e-05
27,4.86474811058777e-07
28,1.86527074631447e-05
29,0.000145747335274117
30,2.7113765986693e-07
31,2.48337042970863e-06
32,2.03992088619484e-05
33,8.14628793360788e-05
34,1.77677710417715e-06
35,1.87637134045789e-06
36,3.92526334508136e-08
37,9.15110951731381e-06
38,0.000120623822279783
39,0.000150717813878825
40,8.59184812445884e-07
41,6.41133583360373e-08
42,9.02411667081133e-07
43,1.44830068222727e-05
44,0.000937807730906487
45,2.10706657252018e-08
46,5.36740967157132e-05
47,0.00024382274915639
48,1.39260425176025e-05
49,2.42326228631591e-06
50,7.22179496058444e-06
51,1.49343772667888e-05
52,6.2992733374248e-06
53,4.27750347460692e-05
54,0.000155689716234091
55,0.000104379382408175
56,0.00018274873231889
57,1.58706014366679e-08
58,1.35792517695884e-06
59,5.76269121401477e-06
60,1.74867561900155e-05
61,1.06543645910301e-05
62,6.73367892207714e-06
63,4.65278051700866e-06
64,3.06182764417434e-05
65,7.57284217889227e-08
66,2.88460238118991e-05
67,1.53848622535805e-08
68,4.27678845677964e-06
69,2.9715228204164e-05
70,6.32027661115773e-07
71,8.920901877448e-06
72,8.76968918567511e-06
73,1.26261757179092e-06
74,9.29611749132858e-06
75,1.35765220438805e-07
76,1.97835373372903e-09
77,2.80574961329234e-07
78,1.94067621279296e-06
79,1.8134674486093e-05
80,8.78965073629612e-06
81,4.40930683707417e-06
82,0.000777528587966807
83,1.03093041190626e-08
84,5.53131311456342e-06
85,3.05754933570656e-08
86,1.38123742618981e-06
87,3.85442184558294e-06
88,1.49326248019668e-05
89,2.45862219718595e-07
90,0.000872130651815997
91,1.21374464833702e-05
92,3.3780240213855e-05
93,4.87712197307655e-06
94,3.41475909782777e-06
95,2.22131164015354e-05
96,1.36824777487528e-07
97,1.53508635475658e-05
98,0.0501728775391682
99,0.00421990926135788
100,6.32626263614313e-05
101,0.000204196863622697
102,0.0717746966670398
103,0.00684556937745419
104,0.00040752326943862
105,1.40056775309604e-05
106,9.25821239750292e-06
107,0.00894990365103162
108,0.00206797853898554
109,0.000806537023136063
110,0.000499005725689612
111,0.000627859994843432
112,1.62752438896505e-06
113,1.25719759364916e-06
114,1.00310786686965e-06
115,4.52420015378599e-05
