id_article,response_variable,measured_metrics,measured_unit,silvo_mean,silvo_se,silvo_sd,silvo_n,control_mean,control_se,control_sd,control_n,id_obs,experimental_design,comparator,tree_crop_combination,tree_crop_combination_t,category_no,year_est_exp,age_system_yrs,age_system,tree_age,season,tree_row_orientation,soil_texture,no_tree_per_m,tree_height,alley_width,tillage,organic,sub_response_variable,distance_tree_m,study_year_start,study_year_end,comments,min_value_shift,yi,vi
1,Biodiversity,Abundance of Bombus,Number,67.475,12.31704411674401,49.26817646697604,16,35.815,6.29234318385795,25.1693727354318,16,1,NA,Monoculture,Fruit-Cereal,Apple-Cereal,1,2009,≤ 3,Young,2,Summer,NA,NA,1,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Abundance of bumble bees,19.145,0.6333903588376537,0.06418873774191244
1,Biodiversity,Abundance of solitary bee,Number,23.605,4.239121932825645,16.95648773130258,16,19.355,1.196531718787542,4.786126875150168,16,2,NA,Monoculture,Fruit-Cereal,Apple-Cereal,1,2009,≤ 3,Young,2,Summer,NA,NA,1,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Abundance ofsolitary bees,19.145,0.19850776996863856,0.03607279452282416
1,Biodiversity,Abundance of hoverfly,Number,101.261,20.379956015790807,81.51982406316323,16,46.852999999999994,11.206965580800587,44.827862323202346,16,3,NA,Monoculture,Fruit-Cereal,Apple-Cereal,1,2009,≤ 3,Young,2,Summer,NA,NA,1,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Abundance of hoverfly,19.145,0.7706863012749653,0.09772011459787149
1,Biodiversity,Species richness of solitary bee,Number of species,39.144999999999996,8.297255738356863,33.189022953427454,16,34.144999999999996,7.179190312725251,28.716761250901005,16,4,NA,Monoculture,Fruit-Cereal,Apple-Cereal,2,2002,≤10,Young,9,Summer,NA,NA,0.3,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Species richness of solitary bee in 2011 in Berkshire,19.145,0.136656537946825,0.08913550021638103
1,Biodiversity,Species richness of solitary bee,Number of species,48.035,6.948557316587743,27.79422926635097,16,40.035,5.2907439779123795,21.162975911649518,16,5,NA,Monoculture,Fruit-Cereal,Apple-Cereal,2,2002,≤10,Young,9,Summer,NA,NA,0.3,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Species richness of solitary bee in 2012 in Berkshire,19.145,0.1821758403371047,0.038389802939017406
1,Biodiversity,Species richness of solitary bee,Number of species,36.925,6.306058411803057,25.224233647212227,16,26.035,3.741120944303733,14.964483777214932,16,6,NA,Monoculture,Fruit-Cereal,Apple-Cereal,1,2002,≤10,Young,9,Summer,NA,NA,0.3,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Species richness of solitary bee in 2011 in Cambridgeshire,19.145,0.34944704180258096,0.04981436400749169
1,Biodiversity,Species richness of solitary bee,Number of species,32.035,6.665710864794651,26.662843459178603,16,21.145,3.142246235950096,12.568984943800384,16,7,NA,Monoculture,Fruit-Cereal,Apple-Cereal,1,2002,≤10,Young,9,Summer,NA,NA,0.3,NA,24,Yes,Yes,Pollinators,Alley,2011,2013,Species richness of solitary bee in 2012 in Cambridgeshire,19.145,0.41542558416653286,0.06537892729051419
2,Crop yield,Yield of winter wheat,t/ha,20.625,91,128.69343417595167,2,25.355,272,384.6660889654819,2,8,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2018,2019,Yield of winter wheat at 1 m from tree row at windward side,19.145,-0.20647201702623771,134.5496555738635
2,Crop yield,Yield of winter wheat,t/ha,20.585,4.76,6.731656556895933,2,26.775,2.64,3.7335238046649715,2,9,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,1,2018,2019,Yield of winter wheat at 1 m from tree row at leeward side,19.145,-0.2629059611119444,0.06319209313744277
2,Crop yield,Yield of winter wheat,t/ha,25.055,13.8,19.516147160748712,2,24.725,3.79,5.359869401394031,2,10,NA,Monoculture,Biomass-Cereal,Poplar-Cereal,3,2008,≤10,Young,8,Winter,NS,Silty  clay,1,6,48,Yes,No,Yield of annual crops,4,2018,2019,Yield of winter wheat at 4 m from tree row at windward side,19.145,0.013258530902911988,0.32686435681308723
