Moderator,Estimate,Std_Error,CI_Lower,CI_Upper,P_Value
tree_crop_combinationBiomass-Cereal,0.020737216286270958,0.08663317627571573,-0.1490606890804417,0.1905351216529836,0.8108201861137765
tree_crop_combinationBiomass-Legume,0.07810196627063465,0.08714763079115194,-0.092704251418017,0.2489081839592863,0.3701443652998053
tree_crop_combinationBiomass-Oilseed,0.03213333622339363,0.1758632398341549,-0.31255228005607966,0.37681895250286696,0.855019484465216
tree_crop_combinationMixed-Cereal,0.1009712156418379,0.0901110462359509,-0.07564318958984943,0.27758562087352523,0.26249230032920046
tree_crop_combinationMixed-Legume,0.10464748010816516,0.09011139740558335,-0.07196761340335425,0.28126257361968454,0.24551489249662403
seasonSummer,-0.03975729079056643,0.013583971152475,-0.06638138501644848,-0.013133196564684386,0.003424914050205189
alley_width_categoryWide,0.024510119491619606,0.11394932033817619,-0.1988264444340232,0.2478466834172624,0.8296919491557502
soil_textureClay loam,-0.061844115075502526,0.04680565724089748,-0.15358151754038799,0.029893287389382933,0.18640277702594282
soil_textureSilty clay,-0.10024073068421875,0.19864733282716251,-0.4895823486503984,0.28910088728196093,0.6138281872242914
age_systemMature,-0.02067971543259942,0.11534663392833093,-0.24675496367005387,0.20539553280485504,0.8577153253859084
