"StudyID","CookDistance","ResponseVariable"
1,0.00782807160794324,"Biodiversity"
1,0.00602757853748544,"Biodiversity"
2,0.00545560911346852,"Crop yield"
2,0.00511647912722593,"Crop yield"
3,0.00658407133918423,"Crop yield"
3,0.00556559271012793,"Crop yield"
4,0.00431032280179488,"Biodiversity"
4,0.0202079503562394,"Biodiversity"
4,0.0069494296070534,"Biodiversity"
4,0.0214857062890488,"Biodiversity"
5,0.0046060713435513,"Water quality"
5,0.00574849390116029,"Water quality"
NA,0.0111092803723792,NA
5,0.00882768474550171,"Water quality"
NA,0.0067202936965195,NA
5,0.00486015594906435,"Water quality"
5,0.0123983952841937,"Water quality"
5,0.00738477958933007,"Water quality"
5,0.00526076224708962,"Water quality"
5,0.0043700667019848,"Water quality"
5,0.00448223610976016,"Water quality"
5,0.0151066333471145,"Water quality"
5,0.550144140496093,"Water quality"
5,0.0106420804008618,"Water quality"
5,0.0604633534048558,"Water quality"
5,0.0198631367164457,"Water quality"
5,0.014679387416634,"Water quality"
5,0.00477831840392301,"Water quality"
5,0.00869052370764108,"Water quality"
5,0.0251596493849663,"Water quality"
5,0.0841002509613189,"Water quality"
5,0.0262666011965501,"Water quality"
5,0.00395383270482331,"Water quality"
5,0.0777236105191416,"Water quality"
1,0.00841249354253509,"Biodiversity"
1,0.0444739708682294,"Biodiversity"
2,0.515060653392728,"Crop yield"
2,0.282860327008445,"Crop yield"
2,0.031839382182245,"Crop yield"
2,0.00718996830757809,"Crop yield"
2,0.0118602330560633,"Crop yield"
2,0.00646222253428127,"Crop yield"
5,0.0107469535306207,"Water quality"
5,0.0107805962211786,"Water quality"
5,0.0148811220425032,"Water quality"
5,0.00775918833717794,"Water quality"
5,0.00767434105232197,"Water quality"
5,0.0144939895561519,"Water quality"
5,0.0116637215295662,"Water quality"
5,0.00690044358211743,"Water quality"
NA,0.00989897415233235,NA
5,0.00425337348337617,"Water quality"
5,0.00531326348767356,"Water quality"
5,0.00485541034794493,"Water quality"
NA,0.0285868947403354,NA
5,0.0384854246542274,"Water quality"
5,0.0246787169950473,"Water quality"
5,0.00652707919207897,"Water quality"
5,0.00388941712829654,"Water quality"
5,0.00704899627911824,"Water quality"
5,0.0127611336404805,"Water quality"
5,0.010934993330796,"Water quality"
5,0.00408934690163594,"Water quality"
5,0.00454043281909377,"Water quality"
5,0.00478271363802669,"Water quality"
5,0.00466920934531683,"Water quality"
5,0.0121982127694385,"Water quality"
5,0.00402164022958917,"Water quality"
5,0.0135865817192021,"Water quality"
5,0.0105224493126158,"Water quality"
5,0.0205930831923384,"Water quality"
5,0.00661780590805325,"Water quality"
5,0.00476202470799315,"Water quality"
6,0.0040433240849445,"Pest and Disease"
6,0.0148681886050161,"Pest and Disease"
6,0.00498608645896204,"Pest and Disease"
6,0.00968253097691166,"Pest and Disease"
1,0.0277286620401765,"Biodiversity"
1,0.0367265731790223,"Biodiversity"
1,0.0447710382996591,"Biodiversity"
1,0.0509780049020081,"Biodiversity"
1,0.0228087125132899,"Biodiversity"
2,0.467714547052041,"Crop yield"
2,0.564756291460358,"Crop yield"
2,0.626811423667784,"Crop yield"
2,0.218023031091899,"Crop yield"
2,0.418529685708498,"Crop yield"
2,0.182773181986957,"Crop yield"
2,0.0422697304087106,"Crop yield"
2,3.32572073221214,"Crop yield"
