"Study","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","ResponseVariable","IsInfluential"
1,2.06057269008703,0.0885450383687728,0.00782807160794324,0.996391854639161,0.019285765158202,11412.4217209729,0.00181703509537043,0.181703509537043,"Biodiversity",TRUE
2,0.679569295523204,0.035402655710338,0.00125403737695175,1.00402469698715,0.0194458687182666,11417.6708995046,0.00273773006469807,0.273773006469807,"Biodiversity",FALSE
3,2.14138132042226,0.0776715320549421,0.00602757853748544,0.997000853957426,0.0193126702085815,11412.6363906632,0.00129688785623297,0.129688785623297,"Biodiversity",TRUE
4,0.297777190905328,0.0109524299516838,0.000119985862106145,1.00254280620902,0.0194426247072485,11418.640111571,0.00139945068383075,0.139945068383075,"Biodiversity",FALSE
5,0.597753534268265,0.0304440114254778,0.00092740586063961,1.00411993272525,0.0194507769640992,11417.9150913757,0.0026279934188662,0.26279934188662,"Biodiversity",FALSE
6,1.18288938203884,0.055598358350907,0.00309023173802417,1.00131166456941,0.0193941699489798,11416.2806083919,0.00219431155684033,0.219431155684033,"Biodiversity",FALSE
7,1.29544864479503,0.0550475942740443,0.0030292208440484,1.00060318545702,0.0193868974713723,11416.1069139779,0.00179153082494443,0.179153082494443,"Biodiversity",FALSE
8,-0.269059379434746,-0.024800065925141,0.000619896622456055,1.01429146907422,0.0195715821579404,11418.5446905743,0.00767285013014389,0.767285013014389,"Biodiversity",FALSE
9,-0.316374672219301,-0.028043340682933,0.000791779755708506,1.01328510862238,0.0195583878108262,11418.8763559469,0.0072260220174622,0.72260220174622,"Biodiversity",FALSE
10,-0.165866912428942,-0.0156623036741999,0.000247270699266236,1.01436806913253,0.0195762312486548,11417.9235339045,0.0075558256192187,0.75558256192187,"Biodiversity",FALSE
11,-0.42387951142672,-0.0370611545855958,0.00138202822959658,1.0127357452301,0.0195458300504788,11418.7934691151,0.00720409453363461,0.720409453363461,"Biodiversity",FALSE
12,-0.216858384303556,-0.0196598108521856,0.00038930677136742,1.01367433706978,0.0195669754445762,11418.6740276023,0.00725441491431613,0.725441491431613,"Biodiversity",FALSE
13,-0.307503484867017,-0.028108925591751,0.000796169883952035,1.01410179296346,0.0195675867827079,11418.8035807847,0.00765112850729531,0.765112850729531,"Biodiversity",FALSE
14,-0.367802842205893,-0.0330381033347407,0.00109923766360066,1.01357552336848,0.0195584000209317,11418.8720813403,0.00751222230234721,0.751222230234721,"Biodiversity",FALSE
15,-0.204550547478802,-0.0185240976225276,0.000345593925688765,1.01358084342451,0.0195663593682471,11418.6619763182,0.00718763697515213,0.718763697515213,"Biodiversity",FALSE
16,-0.130818840324055,-0.0126278897578919,0.000160755138491999,1.01445115215021,0.0195779954913477,11417.4671966928,0.00756475418648949,0.75647541864895,"Biodiversity",FALSE
17,-0.422735168100045,-0.0368627745170491,0.00136719185797307,1.01267326835007,0.0195452823684692,11418.7992522338,0.00716511813020334,0.716511813020334,"Biodiversity",FALSE
18,-0.302303962146892,-0.027501177210717,0.00076200805737772,1.01396997374928,0.0195664556398549,11418.8207426276,0.00756785015160337,0.756785015160337,"Biodiversity",FALSE
19,-0.20981363870488,-0.0195244569778978,0.000384236555073993,1.01433257466819,0.0195744688017725,11418.2331229398,0.00759381564897478,0.759381564897478,"Biodiversity",FALSE
20,-0.849119645764716,-0.0737750059828019,0.00545560911346852,1.00951004871398,0.0194636861568098,11413.9387552775,0.00742439016304774,0.742439016304774,"Biodiversity",FALSE
21,-0.832885345925884,-0.071442231679617,0.00511647912722593,1.00944178048324,0.0194667523402413,11415.7067907363,0.00723010564505246,0.723010564505246,"Biodiversity",FALSE
22,-0.16907970922119,-0.0157212049556857,0.000249031917933679,1.01399167925087,0.0195719614989496,11418.3733649465,0.00736111258975712,0.736111258975713,"Biodiversity",FALSE
23,-0.527822951859056,-0.0460206518838219,0.00212970098045059,1.01221365229313,0.0195317263377024,11418.3892594958,0.00727317748398741,0.727317748398741,"Biodiversity",FALSE
24,-0.380159885014266,-0.034371089329173,0.00118990006361434,1.01372306285235,0.019559096686383,11418.8449264842,0.00762900858081395,0.762900858081395,"Biodiversity",FALSE
25,-0.262724940605866,-0.0242910566294667,0.000594759764044996,1.01436331436651,0.0195726559384619,11418.3996851528,0.00769929563824017,0.769929563824017,"Biodiversity",FALSE
26,-1.38893349400986,-0.0812019240140044,0.00658407133918423,1.00075862061902,0.0193508016912622,11416.5121283011,0.00345540345753112,0.345540345753112,"Biodiversity",FALSE
27,-0.563993144354046,-0.0187078694911081,0.000350026992038611,1.0017984358056,0.0194324315236481,11418.6666595493,0.00108277966076146,0.108277966076146,"Biodiversity",FALSE
28,-0.669423838311192,-0.0299195951315669,0.000895474834129068,1.00302772616815,0.0194406168144108,11418.560575305,0.00196559986805049,0.196559986805049,"Biodiversity",FALSE
29,-0.372186039346423,-0.0158547129058845,0.000251469535832688,1.00316456964835,0.0194490492108632,11418.8295001511,0.00175052925771331,0.175052925771331,"Biodiversity",FALSE
30,-1.86355009305069,-0.0746360888981223,0.00556559271012793,0.998182734255508,0.0193328098077149,11415.2308852117,0.00163644175716077,0.163644175716077,"Biodiversity",FALSE
31,-0.721740904867523,-0.0596267580470987,0.0035666096899879,1.00973832786065,0.0194875961920346,11417.8389370336,0.00665900914574743,0.665900914574743,"Biodiversity",FALSE
32,-0.420180187271214,-0.0342571216997551,0.00117909545184466,1.01111967371097,0.0195296903219321,11418.8295922011,0.0062776412910655,0.62776412910655,"Biodiversity",FALSE
33,-0.696297559471599,-0.0555402683601918,0.00309381289077346,1.00927165215462,0.0194875717291245,11418.186173033,0.00619929019032101,0.619929019032101,"Biodiversity",FALSE
34,-0.902258131456701,-0.0598042423946516,0.00357868023495501,1.00524260473011,0.0194361798627688,11417.9696933931,0.00434907686648046,0.434907686648046,"Biodiversity",FALSE
35,-0.529397304392302,-0.0318647871618086,0.00101669381513495,1.00589821244115,0.0194720552429557,11418.7287791573,0.00350688372612803,0.350688372612803,"Biodiversity",FALSE
36,-0.160386030355992,-0.0129010000972966,0.000167161338150889,1.01059375410648,0.0195343151040766,11418.8176621665,0.00556650789477387,0.556650789477387,"Biodiversity",FALSE
37,-0.493658513693973,-0.0364180179742376,0.00133026679631699,1.00892629985901,0.0195031269184824,11418.7580718385,0.0052127774525589,0.52127774525589,"Biodiversity",FALSE
38,1.66083937244421,0.0656734595925331,0.00431032280179488,0.998990165463535,0.019354259838226,11414.7735732845,0.00154544684122972,0.154544684122972,"Biodiversity",FALSE
39,0.690810709455859,0.0159300777583791,0.000253772152555356,1.00075795330249,0.0194207036638671,11418.2256092036,0.000533945405322948,0.0533945405322948,"Biodiversity",FALSE
40,0.4650603079747,0.0116316046140793,0.000135300009985083,1.00106221560486,0.0194256103778429,11418.5356549913,0.000632973122078859,0.0632973122078859,"Biodiversity",FALSE
41,0.362738592584497,0.0084903527313122,7.20887670377072e-05,1.00098065012275,0.0194254807628751,11418.6587278673,0.000556973778219694,0.0556973778219694,"Biodiversity",FALSE
42,3.04420569213091,0.142534956370268,0.0202079503562394,0.986339579944516,0.0190383117031122,11404.6130006706,0.00214706066169173,0.214706066169173,"Biodiversity",TRUE
43,0.0339335155850408,0.0015228891356155,2.32516675885668e-06,1.00813265643725,0.0195076805906928,11418.6947906771,0.0042391495715753,0.42391495715753,"Biodiversity",FALSE
44,-0.073381709461437,-0.004682608903918,2.19588913178689e-05,1.00612126132261,0.0194849017609445,11418.8442179009,0.00319404341754475,0.319404341754475,"Biodiversity",FALSE
45,0.286362651131799,0.0139859604373971,0.000195766194962474,1.00457788115852,0.019464753508866,11418.5364297465,0.00250111921198189,0.250111921198189,"Biodiversity",FALSE
46,1.61277981421051,0.0834312947289291,0.0069494296070534,0.998703006402941,0.0193213819326834,11413.9183642925,0.0026363264613796,0.26363264613796,"Biodiversity",FALSE
47,0.255132063082103,0.0121811458813455,0.00014849422653877,1.00444300811228,0.0194638210349987,11418.5899165824,0.00240602706501245,0.240602706501245,"Biodiversity",FALSE
48,0.109091416067541,0.00558988129938495,3.128914714592e-05,1.00589623485308,0.0194818549602932,11418.701738727,0.00309765842053569,0.309765842053569,"Biodiversity",FALSE
49,0.276294301969333,0.0168017967230112,0.000282874780716546,1.00724738595101,0.0194938631003659,11418.3250681423,0.00393693021937401,0.393693021937401,"Biodiversity",FALSE
50,-0.152457945266736,-0.012562888377549,0.000158570156141142,1.01101715593764,0.0195391916601026,11418.7955685996,0.00578246975873848,0.578246975873848,"Biodiversity",FALSE
51,-0.39407451060146,-0.0295818072156627,0.000878129965351268,1.00952304399358,0.0195147970175904,11418.8508369931,0.00531829054628241,0.531829054628241,"Biodiversity",FALSE
52,-0.0655809754800658,-0.00546186869128345,2.99382654234505e-05,1.00956743327756,0.0195239155682753,11418.7543211194,0.00498389815671154,0.498389815671154,"Biodiversity",FALSE
53,-2.04432766469818,-0.147514650806833,0.0214857062890488,0.99045705195216,0.0190594647372956,11409.2260604749,0.00539176970172445,0.539176970172446,"Biodiversity",TRUE
54,-1.06270546000056,-0.0678749674758644,0.0046060713435513,1.00376756447655,0.0194077365336935,11417.5309344594,0.00407054132423237,0.407054132423237,"Biodiversity",FALSE
55,-0.555298580840208,-0.0335391241912455,0.00112631723720056,1.00586389134885,0.0194704734836697,11418.7000623289,0.0035386232931618,0.35386232931618,"Biodiversity",FALSE
56,-1.03943507037508,-0.0758257394057229,0.00574849390116029,1.00510777587657,0.0194101205407643,11417.1601597348,0.0052992191178775,0.52992191178775,"Biodiversity",FALSE
57,-0.207157273910152,-0.0192887339603697,0.000375014970368481,1.01433287552225,0.0195745652583038,11418.2193939864,0.00759011540374363,0.759011540374363,"Biodiversity",FALSE
58,0.273352666601796,0.0135260164898786,0.000183112496406132,1.00473597226908,0.0194667033003988,11418.5457514894,0.00257692300522283,0.257692300522283,"Biodiversity",FALSE
59,-0.167850832902157,-0.0159326117392574,0.000255925604310905,1.01453129787209,0.0195779905008042,11417.4525642187,0.0076441066238537,0.76441066238537,"Biodiversity",FALSE
60,-0.191260249005098,-0.0181358091134473,0.000331669016438617,1.01472256883604,0.0195794001443697,11414.797495311,0.00777457680701308,0.777457680701308,"Biodiversity",FALSE
61,-0.253906272653627,-0.0236214073685915,0.000562513762515621,1.01451249948623,0.0195746753201422,11417.6541661312,0.00776292803008751,0.776292803008751,"Biodiversity",FALSE
62,-0.148021882494751,-0.0139500996674588,0.000196104563921753,1.01409520010753,0.019573642298924,11418.1883867324,0.0073936729905423,0.73936729905423,"Biodiversity",FALSE
63,-0.165031913696444,-0.0153402827647367,0.000237097588864271,1.0139418110805,0.0195715142917301,11418.3865519215,0.00733040628944719,0.733040628944719,"Biodiversity",FALSE
64,0.355121411457053,0.0149674031858365,0.000224115413701277,1.00326501451509,0.0194495209939316,11418.522573833,0.00183076918264689,0.183076918264689,"Biodiversity",FALSE
65,-0.565660461663532,-0.0453503957221862,0.00206452644145973,1.01017189726175,0.0195092441057649,11418.582883391,0.00618952975383406,0.618952975383406,"Biodiversity",FALSE
66,-0.586975930361312,-0.04154085496135,0.00172957585924396,1.0078712398676,0.0194867484345461,11418.6340523048,0.00484954238348735,0.484954238348735,"Biodiversity",FALSE
67,-0.312843239702769,-0.0245855059010965,0.000607032642591085,1.01052330773477,0.0195290318983384,11418.8831062988,0.0057160108291526,0.57160108291526,"Biodiversity",FALSE
68,-0.327550933822799,-0.0245833454111354,0.000606499082264241,1.00961653341462,0.0195187466337602,11418.8791708125,0.00524682427341295,0.524682427341295,"Biodiversity",FALSE
69,0.128995207235221,0.00845790471722946,7.18025700284566e-05,1.00978908418573,0.0195253163078025,11418.3793435388,0.00514480706845483,0.514480706845483,"Biodiversity",FALSE
70,0.108505621521286,0.00678835822364208,4.62340851859272e-05,1.00921750892484,0.0195192252981585,11418.4934182666,0.00483265614919289,0.483265614919289,"Biodiversity",FALSE
71,0.0563176854001578,0.00369862771533695,1.37955941746383e-05,1.01476752601185,0.0195823415810087,11408.6946213538,0.00769707356446265,0.769707356446265,"Biodiversity",FALSE
72,-0.191265734661991,-0.0181104665768933,0.000330727996660197,1.01468301419671,0.0195789640826445,11416.0284127014,0.00775358532831474,0.775358532831474,"Biodiversity",FALSE
73,-0.707903673214087,-0.0614916464775666,0.00379631664637812,1.01086821190468,0.0194978790511601,11416.7052515891,0.00734781276106032,0.734781276106032,"Biodiversity",FALSE
74,-0.301247252036347,-0.0265810210652809,0.000711278764207054,1.01316849127003,0.0195579164755528,11418.8686818961,0.00713042441323069,0.713042441323069,"Biodiversity",FALSE
75,-0.0175809465578463,-0.00221973535626589,4.94889432964476e-06,1.01063447278938,0.0195361228958681,11418.6166339503,0.00553176316077403,0.553176316077403,"Biodiversity",FALSE
76,-0.161020082209138,-0.0124743637476236,0.000156199592074839,1.00987610830079,0.0195262903270183,11418.8356186518,0.00519038851902491,0.519038851902491,"Biodiversity",FALSE
77,-0.691828920678311,-0.0606226247212463,0.00369089288831015,1.01119380615884,0.0195027652316263,11416.2726711034,0.00746661564427959,0.746661564427959,"Biodiversity",FALSE
78,0.149490887778188,0.0108187028431837,0.000117672945325087,1.01176525321147,0.0195469720824747,11417.8470794836,0.0061986339562687,0.61986339562687,"Biodiversity",FALSE
79,0.0329663309157402,0.00160642537961601,2.59666437221817e-06,1.01265931320083,0.0195588263264613,11418.0739273881,0.00659000564043731,0.659000564043731,"Biodiversity",FALSE
80,0.631551460645576,0.0490331656295604,0.00241180025300384,1.00943770047605,0.0194931197881877,11414.7646173075,0.00613317341927316,0.613317341927316,"Biodiversity",FALSE
81,-1.31749340112684,-0.105620241554954,0.0111092803723792,1.00241690552704,0.0193178301724925,11413.2186821242,0.00647292303027675,0.647292303027675,"Biodiversity",FALSE
82,0.053860586940095,0.00226667221340196,5.14214717818213e-06,1.0046513096368,0.019468148354059,11418.7921670689,0.00243281322424565,0.243281322424565,"Biodiversity",FALSE
83,-0.657320668367146,-0.0505602026622634,0.00256346098566111,1.00887754493042,0.0194889909655407,11418.4123519612,0.0057511442253009,0.57511442253009,"Biodiversity",FALSE
84,-0.112967455636696,-0.00818054466130363,6.7101436201373e-05,1.00831433894127,0.0195094132066981,11418.8325005315,0.00434691792714948,0.434691792714948,"Biodiversity",FALSE
85,-0.371092102105983,-0.0335379973888075,0.00113293502287043,1.01373179648851,0.019559808280691,11418.8652690466,0.00760814623967154,0.760814623967154,"Biodiversity",FALSE
86,-0.344945926319737,-0.0312128999468454,0.000981387016707412,1.0138063069306,0.0195622750974293,11418.8832251594,0.00757949262293897,0.757949262293897,"Biodiversity",FALSE
87,-0.331071575568159,-0.0300714095723489,0.00091103725705294,1.01392197486479,0.0195643341654961,11418.8723730624,0.00760836886132899,0.760836886132899,"Biodiversity",FALSE
88,-0.364028428877369,-0.0329478717723275,0.00109348173175144,1.01378447389395,0.0195608283734343,11418.8747876581,0.00761788376088836,0.761788376088836,"Biodiversity",FALSE
89,-1.12597682145786,-0.0940331797274725,0.00882768474550171,1.00550365270957,0.0193794422509064,11413.2425405813,0.00696348156966131,0.696348156966131,"Biodiversity",FALSE
90,-0.386658548750595,-0.0296144840692018,0.000880331872302694,1.00991914592028,0.0195192727326872,11418.8563729766,0.00552397367089745,0.552397367089745,"Biodiversity",FALSE
91,-0.432718199667023,-0.0364948928120977,0.00133899679246363,1.01184124614812,0.0195361491594814,11418.8055578906,0.00672230129454038,0.672230129454038,"Biodiversity",FALSE
92,-0.719355287150544,-0.060162149060881,0.00363158353047591,1.0099952687579,0.0194897930090524,11417.7082882558,0.00682154278372645,0.682154278372645,"Biodiversity",FALSE
93,-0.544254778801407,-0.0466613676994732,0.00218841825444803,1.011727877705,0.0195255621657887,11418.4458341313,0.00704916262207585,0.704916262207585,"Biodiversity",FALSE
94,-0.282381099478232,-0.0215036647911063,0.000464162775983223,1.00990211083375,0.019523477531863,11418.8832237362,0.00533274225511927,0.533274225511927,"Biodiversity",FALSE
95,-0.51216683574117,-0.043976013308788,0.00194421901958617,1.01193116559601,0.0195305597253471,11418.572068747,0.00704271209721259,0.704271209721259,"Biodiversity",FALSE
96,-0.454913370080806,-0.0391264960989014,0.00153956982128907,1.01222407195526,0.0195383130059354,11418.7450090762,0.00701052701059061,0.701052701059061,"Biodiversity",FALSE
97,-0.221466809776268,-0.0197622308588731,0.000393216426313315,1.013288628462,0.0195625730016535,11418.7505818806,0.00705604957867577,0.705604957867577,"Biodiversity",FALSE
98,0.172232607039535,0.012700651407412,0.000162188943717282,1.01187743257424,0.0195476361398975,11417.6710740225,0.00628187019007817,0.628187019007817,"Biodiversity",FALSE
99,-0.0872815600136304,-0.00848146237168122,7.24422558948352e-05,1.01347557280718,0.0195677670930033,11418.2827382985,0.00702535490690452,0.702535490690452,"Biodiversity",FALSE
100,0.352328674300006,0.028913322011337,0.000841326005746904,1.01291246379044,0.0195507342541525,11413.1317649877,0.00717531322461911,0.717531322461911,"Biodiversity",FALSE
101,-0.208580949985793,-0.0164901647536434,0.000273090104127874,1.01050571941054,0.0195322758154848,11418.8557066541,0.00556411917544973,0.556411917544974,"Biodiversity",FALSE
102,-0.0856417291399437,-0.00722830679362615,5.24697453100772e-05,1.01043760996673,0.0195335900061379,11418.7397494975,0.00544234749109877,0.544234749109877,"Biodiversity",FALSE
103,-0.343968262828096,-0.0266980398416852,0.000715671427297275,1.01024862607526,0.019524767964087,11418.8766099681,0.00562152848376805,0.562152848376805,"Biodiversity",FALSE
104,-0.0425942545679386,-0.00453558158666453,2.06985983205135e-05,1.01261211558802,0.0195584024408558,11418.3940990999,0.00656097581932324,0.656097581932324,"Biodiversity",FALSE
105,-0.345305583507473,-0.0315968030118417,0.00100599990903018,1.01410922421534,0.0195654399133244,11418.8792604324,0.00774742346738118,0.774742346738118,"Biodiversity",FALSE
106,-0.29672281646347,-0.0272600784330295,0.00074892158372587,1.01423536833346,0.0195695959639315,11418.7007053206,0.00769976088867316,0.769976088867316,"Biodiversity",FALSE
107,-0.272074310227699,-0.0251855695465776,0.000639404469160976,1.01441534243915,0.0195727784568295,11418.2531681022,0.00774559329898779,0.774559329898779,"Biodiversity",FALSE
108,-0.334788387355171,-0.0307315626967027,0.000951764423687413,1.01420697748508,0.019567122831528,11418.835221541,0.00777420642720369,0.777420642720369,"Biodiversity",FALSE
109,-0.243283608446592,-0.022692904147564,0.000519185578958113,1.01455257801486,0.0195755757067698,11417.314371847,0.00776519340733406,0.776519340733406,"Biodiversity",FALSE
110,-0.308508723450838,-0.0283660190548548,0.000810940888987743,1.01426225640953,0.0195692451118216,11418.7093885268,0.00774084805938462,0.774084805938462,"Biodiversity",FALSE
111,1.64956299470114,0.0820388353915656,0.0067202936965195,0.998531010661882,0.0193220296167775,11413.9473421802,0.00243724067408082,0.243724067408082,"Biodiversity",FALSE
