id_article,id_obs,treat_id,exp_id,response_variable,sub_response_variable,location,sub_region,final_lat,final_lon,exp_site_loc,experiment_year,tree_type,crop_type,age_system,tree_age,season,soil_texture,no_tree_per_m,tree_height,alley_width,silvo_mean,silvo_sd,silvo_n,control_mean,control_sd,control_n,lat,lon,experimental_design,comparator,year_est_exp,age_system_yrs,measured_metrics,measured_unit,distance_tree_m,study_year_start,study_year_end,comments,site_x,climate_zone,silvo_se,control_se
1,1,2,2,Biodiversity,Pollinators,South East England,Continental Europe,51.45115235,-0.9935673736185868,"51.45115235, -0.993567373618587",2011-01-01,"Fruit,nut & other",Cereal,Young,2,Summer,Clay,NA,NA,Wide,48.33,49.26817646697604,16,16.67,25.1693727354318,16,NA,NA,NA,Monoculture,2009-01-01,≤ 3,Abundance of Bombus,Number,Alley,2011-01-01,2013-01-01,Abundance of bumble bees,South East England,15,12.31704411674401,6.29234318385795
1,2,2,2,Biodiversity,Pollinators,South East England,Continental Europe,51.45115235,-0.9935673736185868,"51.45115235, -0.993567373618587",2011-01-01,"Fruit,nut & other",Cereal,Young,2,Summer,Clay,NA,NA,Wide,4.46,16.95648773130258,16,0.21,4.786126875150168,16,NA,NA,NA,Monoculture,2009-01-01,≤ 3,Abundance of solitary bee,Number,Alley,2011-01-01,2013-01-01,Abundance ofsolitary bees,South East England,15,4.239121932825645,1.196531718787542
1,3,2,2,Biodiversity,Pollinators,South East England,Continental Europe,51.45115235,-0.9935673736185868,"51.45115235, -0.993567373618587",2011-01-01,"Fruit,nut & other",Cereal,Young,2,Summer,Clay,NA,NA,Wide,82.116,81.51982406316323,16,27.708,44.827862323202346,16,NA,NA,NA,Monoculture,2009-01-01,≤ 3,Abundance of hoverfly,Number,Alley,2011-01-01,2013-01-01,Abundance of hoverfly,South East England,15,20.379956015790807,11.206965580800587
1,4,3,3,Biodiversity,Pollinators,South East England (Berkshire),Continental Europe,51.599088727124446,-1.2401452296552813,"51.5990887271244, -1.24014522965528",2011-01-01,"Fruit,nut & other",Cereal,Medium,9,Summer,Clay,NA,NA,Wide,20,33.189022953427454,16,15,28.716761250901005,16,NA,NA,NA,Monoculture,2002-01-01,≤10,Species richness of solitary bee,Number of species,Alley,2011-01-01,2013-01-01,Species richness of solitary bee in 2011 in Berkshire,South East England (Berkshire),15,8.297255738356863,7.179190312725251
1,5,3,3,Biodiversity,Pollinators,South East England (Berkshire),Continental Europe,51.599088727124446,-1.2401452296552813,"51.5990887271244, -1.24014522965528",2011-01-01,"Fruit,nut & other",Cereal,Medium,9,Summer,Clay,NA,NA,Wide,28.89,27.79422926635097,16,20.89,21.162975911649518,16,NA,NA,NA,Monoculture,2002-01-01,≤10,Species richness of solitary bee,Number of species,Alley,2011-01-01,2013-01-01,Species richness of solitary bee in 2012 in Berkshire,South East England (Berkshire),15,6.948557316587743,5.2907439779123795
1,6,1,1,Biodiversity,Pollinators,"Cambridgeshire, England",Continental Europe,52.3729017,-0.04493599422000649,"52.3729017, -0.0449359942200065",2011-01-01,"Fruit,nut & other",Cereal,Medium,9,Summer,Clay,NA,NA,Wide,17.78,25.224233647212227,16,6.89,14.964483777214932,16,NA,NA,NA,Monoculture,2002-01-01,≤10,Species richness of solitary bee,Number of species,Alley,2011-01-01,2013-01-01,Species richness of solitary bee in 2011 in Cambridgeshire,"Cambridgeshire, England",15,6.306058411803057,3.741120944303733
1,7,1,1,Biodiversity,Pollinators,"Cambridgeshire, England",Continental Europe,52.3729017,-0.04493599422000649,"52.3729017, -0.0449359942200065",2011-01-01,"Fruit,nut & other",Cereal,Medium,9,Summer,Clay,NA,NA,Wide,12.89,26.662843459178603,16,2,12.568984943800384,16,NA,NA,NA,Monoculture,2002-01-01,≤10,Species richness of solitary bee,Number of species,Alley,2011-01-01,2013-01-01,Species richness of solitary bee in 2012 in Cambridgeshire,"Cambridgeshire, England",15,6.665710864794651,3.142246235950096
2,8,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,1.48,NA,2,6.21,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,1,2018-01-01,2019-01-01,Yield of winter wheat at 1 m from tree row at windward side,"52.331667, 10.631111",15,99,68
2,9,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,1.44,NA,2,7.63,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,1,2018-01-01,2019-01-01,Yield of winter wheat at 1 m from tree row at leeward side,"52.331667, 10.631111",15,3.7,1.76
2,10,4,4,Crop yield,Yield of annual crops,Wendhausen,Continental Europe,52.331667,10.631111,"52.331667, 10.631111",2018-01-01,Biomass,Cereal,Medium,8,Winter,Silt,NA,Short,Wide,5.91,NA,2,5.58,NA,2,52.331667,10.631111,NA,Monoculture,2008-01-01,≤10,Yield of winter wheat,t/ha,4,2018-01-01,2019-01-01,Yield of winter wheat at 4 m from tree row at windward side,"52.331667, 10.631111",15,129.17,167.32
