STUDY.LOC.COUNTRY,ES.GROUPS,CROP.OUTPUT.GROUP,SAF System Trait type,ID.P,ID.S
Belgium,Food (yield),Cereals,Timber - Arable,1,1
Belgium,Food (yield),Cereals,Timber - Arable,1,1
Belgium,Food (yield),Oil crops,Timber - Arable,1,1
Belgium,Food (yield),Oil crops,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Cereals,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Cereals,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,1,1
Belgium,Food (yield),Cereals,Timber - Arable,1,1
Belgium,Food (yield),Cereals,Timber - Arable,1,1
Belgium,Food (yield),Oil crops,Timber - Arable,1,1
Belgium,Food (yield),Oil crops,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Cereals,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Cereals,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,1,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,1,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Sugar crops,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Pulses,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Food (yield),Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Sugar crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Pulses,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Belgium,Aboveground (crop-tree) light competition,Oil crops,Timber - Arable,2,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Pulses,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Pulses,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biological soil components,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
Canada,Biodiversity,Cereals,Timber - Arable,3,1
