ID.P,ID.S,ES.GROUPS,SAF System Trait type,CROP.OUTPUT.GROUP
1,1,Food (yield),Timber - Arable,Cereals
1,1,Food (yield),Timber - Arable,Oil crops
1,1,Food (yield),Timber - Arable,Cereals
1,1,Food (yield),Timber - Arable,Oil crops
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Cereals
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Cereals
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
1,1,Food (yield),Timber - Arable,Cereals
1,1,Food (yield),Timber - Arable,Oil crops
1,1,Food (yield),Timber - Arable,Cereals
1,1,Food (yield),Timber - Arable,Oil crops
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Cereals
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Cereals
1,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Food (yield),Timber - Arable,Sugar crops
2,1,Food (yield),Timber - Arable,Pulses
2,1,Food (yield),Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Sugar crops
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Pulses
2,1,Aboveground (crop-tree) light competition,Timber - Arable,Oil crops
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biodiversity,Timber - Arable,Pulses
3,1,Biodiversity,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Cereals
3,1,Biological soil components,Timber - Arable,Pulses
3,1,Biological soil components,Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Cereals
5,1,Food (yield),Timber - Arable,Pulses
5,1,Food (yield),Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Cereals
5,1,Economic profit related,Timber - Arable,Pulses
5,1,Economic profit related,Timber - Arable,Cereals
6,1,Feed,Timber - Arable,Pulses
6,1,Feed,Timber - Arable,Cereals
6,1,Feed,Timber - Arable,Pulses
6,1,Feed,Timber - Arable,Cereals
6,1,Feed,Timber - Arable,Pulses
6,1,Feed,Timber - Arable,Cereals
6,1,Feed,Timber - Arable,Pulses
6,1,Feed,Timber - Arable,Cereals
6,2,Feed,Timber - Arable,Oil crops
6,2,Feed,Timber - Arable,Forage crops
6,2,Feed,Timber - Arable,Oil crops
6,2,Feed,Timber - Arable,Forage crops
6,2,Feed,Timber - Arable,Oil crops
6,2,Feed,Timber - Arable,Forage crops
6,2,Feed,Timber - Arable,Oil crops
6,2,Feed,Timber - Arable,Forage crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Cereals
7,1,Biodiversity,Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Oil crops
8,1,Food (yield),Timber - Arable,Cereals
8,1,Food (yield),Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Oil crops
8,1,Disease regulation,Timber - Arable,Cereals
8,1,Disease regulation,Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Oil crops
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
8,2,Food (yield),Timber - Arable,Cereals
