ID.P,name,value,INPUT.OUTPUT.ES,ES.CAT.GROUPS,FOCUS.GROUPS.BD.ES.CAT
1,Food,1,OUTPUT.ES,Povisioning ES,Production
1,Biomass,1,OUTPUT.ES,Povisioning ES,Production
1,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
1,Pests,0,"NA",Regulating ES,Disease and pest
1,Diseases,0,"NA",Regulating ES,Disease and pest
1,Weeds,0,"NA",Regulating ES,Disease and pest
1,Product quality,1,OUTPUT.ES,Povisioning ES,Production
1,Product stability,0,OUTPUT.ES,Povisioning ES,Production
1,Mechanisation,0,"NA",Povisioning ES,Production
1,Belowground (crop-tree) competition,1,"NA",Povisioning ES,Production
1,Aboveground (crop-tree) light competition,1,"NA",Povisioning ES,Production
1,Nutrient use,0,"NA",Povisioning ES,Production
1,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
1,Breeding and selection,0,"NA",Povisioning ES,Production
1,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
1,Biodiversity,0,INPUT.ES,Regulating ES,Biodiversity
1,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
1,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
1,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
1,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
1,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
1,Biological soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
1,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
1,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
1,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
1,Water quality,0,"NA",Regulating ES,Water
1,Water perculation,0,"NA",Regulating ES,Water
1,Water cyclings,0,"NA",Supporting ES,Water
1,Water availability,0,INPUT.ES,Regulating ES,Water
1,Hydraulic lift,0,INPUT.ES,Regulating ES,Water
1,Economic profit related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
1,Economic management related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
1,Economic market related,0,"NA",Povisioning ES,Socio-cultural and economic
1,Landscape aesthetics,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
1,Recreational and ecotourisms,0,OUTPUT.ES,"NA","NA"
1,Spiritual values,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
1,Perception of adoptation,0,"NA",Cultural ES,Socio-cultural and economic
1,Policy information,0,"NA",Cultural ES,Socio-cultural and economic
1,Agronomic category,1,"NA","NA","NA"
1,Environmental category,0,"NA","NA","NA"
1,Economic category,0,"NA","NA","NA"
1,Socio-cultural category,0,"NA","NA","NA"
1,Food (yield),1,OUTPUT.ES,Povisioning ES,Production
1,Feed,0,OUTPUT.ES,Povisioning ES,Production
1,Fibre,0,OUTPUT.ES,Povisioning ES,Production
1,Fuel (firewood etc.),0,OUTPUT.ES,"NA",Production
1,Genetic resources,0,"NA",Povisioning ES,Production
1,Biochemicals,0,OUTPUT.ES,Povisioning ES,Production
1,Ornamentals,0,OUTPUT.ES,Povisioning ES,Production
1,Fresh water,0,"NA",Povisioning ES,Water
1,Air regulation,0,"NA",Regulating ES,Nat. process regulation
1,Climate regulation,0,OUTPUT.ES,Regulating ES,Nat. process regulation
1,Carbon sequestration,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
1,Water regulation,0,OUTPUT.ES,Regulating ES,Water
1,Nutrient leaching regulation,0,OUTPUT.ES,Regulating ES,"Soil quality, carbon and nutrients"
1,Erosion regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
1,Water purification,0,"NA",Regulating ES,Water
1,Disease regulation,0,INPUT.ES,Regulating ES,Disease and pest
1,Pest regulation,0,INPUT.ES,Regulating ES,Disease and pest
1,Polination regulation,0,INPUT.ES,Regulating ES,Nat. process regulation
1,Natural hazards regulation,0,"NA",Regulating ES,Nat. process regulation
1,Soil formation,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
1,Photosynthesis,0,"NA",Supporting ES,Nat. process regulation
1,Primary production,1,"NA",Supporting ES,Production
1,Nutrient cycling,0,INPUT.ES,Supporting ES,Nat. process regulation
1,Water cycling,0,INPUT.ES,Supporting ES,Water
1,Cultural diversity,0,"NA",Cultural ES,Socio-cultural and economic
1,Spiritual value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
1,Knowledge systems,0,"NA",Cultural ES,Socio-cultural and economic
1,Educational value,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
1,Inspirational value,0,"NA",Cultural ES,Socio-cultural and economic
1,Aesthetic value,0,"NA",Cultural ES,Socio-cultural and economic
1,Social relations,0,"NA",Cultural ES,Socio-cultural and economic
1,Sense of place,0,"NA",Cultural ES,Socio-cultural and economic
1,Cultural heritage value,0,"NA",Cultural ES,Socio-cultural and economic
1,Recreational and ecotourism,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
1,Provisioning ES,1,"NA","NA","NA"
1,Regulating ES,0,"NA","NA","NA"
1,Supporting ES,1,"NA","NA","NA"
1,Cultural ES,0,"NA","NA","NA"
1,Ecosystem Services,1,"NA","NA","NA"
2,Food,1,OUTPUT.ES,Povisioning ES,Production
2,Biomass,1,OUTPUT.ES,Povisioning ES,Production
2,Land equivalent ratio,0,INPUT.ES,Povisioning ES,Production
2,Pests,0,"NA",Regulating ES,Disease and pest
2,Diseases,0,"NA",Regulating ES,Disease and pest
2,Weeds,0,"NA",Regulating ES,Disease and pest
2,Product quality,1,OUTPUT.ES,Povisioning ES,Production
2,Product stability,0,OUTPUT.ES,Povisioning ES,Production
2,Mechanisation,0,"NA",Povisioning ES,Production
2,Belowground (crop-tree) competition,1,"NA",Povisioning ES,Production
2,Aboveground (crop-tree) light competition,1,"NA",Povisioning ES,Production
2,Nutrient use,0,"NA",Povisioning ES,Production
2,Nutrient use effeciency,0,INPUT.ES,Povisioning ES,Production
2,Breeding and selection,0,"NA",Povisioning ES,Production
2,Soil quality,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
2,Biodiversity,0,INPUT.ES,Regulating ES,Biodiversity
2,Carbon stock,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
2,Greenhouse gas emissions,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
2,Pollination,0,OUTPUT.ES,Regulating ES,Nat. process regulation
2,Soil structure,0,INPUT.ES,Supporting ES,"Soil quality, carbon and nutrients"
2,Chemical soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
2,Biological soil components,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
2,Soil water,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
2,Soil erosion,0,"NA",Regulating ES,"Soil quality, carbon and nutrients"
2,Soil formations,0,"NA",Supporting ES,"Soil quality, carbon and nutrients"
2,Water quality,0,"NA",Regulating ES,Water
2,Water perculation,0,"NA",Regulating ES,Water
2,Water cyclings,0,"NA",Supporting ES,Water
2,Water availability,0,INPUT.ES,Regulating ES,Water
2,Hydraulic lift,0,INPUT.ES,Regulating ES,Water
2,Economic profit related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
2,Economic management related,0,INPUT.ES,Povisioning ES,Socio-cultural and economic
2,Economic market related,0,"NA",Povisioning ES,Socio-cultural and economic
2,Landscape aesthetics,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
2,Recreational and ecotourisms,0,OUTPUT.ES,"NA","NA"
2,Spiritual values,0,OUTPUT.ES,Cultural ES,Socio-cultural and economic
2,Perception of adoptation,0,"NA",Cultural ES,Socio-cultural and economic
2,Policy information,0,"NA",Cultural ES,Socio-cultural and economic
2,Agronomic category,1,"NA","NA","NA"
2,Environmental category,0,"NA","NA","NA"
2,Economic category,0,"NA","NA","NA"
2,Socio-cultural category,0,"NA","NA","NA"
2,Food (yield),1,OUTPUT.ES,Povisioning ES,Production
2,Feed,0,OUTPUT.ES,Povisioning ES,Production
2,Fibre,0,OUTPUT.ES,Povisioning ES,Production
2,Fuel (firewood etc.),0,OUTPUT.ES,"NA",Production
2,Genetic resources,0,"NA",Povisioning ES,Production
2,Biochemicals,0,OUTPUT.ES,Povisioning ES,Production
2,Ornamentals,0,OUTPUT.ES,Povisioning ES,Production
2,Fresh water,0,"NA",Povisioning ES,Water
2,Air regulation,0,"NA",Regulating ES,Nat. process regulation
2,Climate regulation,0,OUTPUT.ES,Regulating ES,Nat. process regulation
