ID.P,STUDY.NO,ID.S,...4,AUTHOR,TITLE,STUDY.LOC.COUNTRY,STUDY.LOC.SPEC,STUDY.LOC.SPEC.COORDS,...10,CROP.SPECIES,CROP.GENUS.GROUP,CROP.SPECIES.GROUP,BROAD.CATEGORIES.CROP.SPECIES,CROP.OUTPUT.GROUP
1,1,1,NA,"Artru, S., Garre, S., Dupraz, C., Hiel, M. P., Blitz-Frayret, C. and Lassois, L.","Impact of spatio-temporal shade dynamics on wheat growth and yield, perspectives for temperate agroforestry",Belgium,Hesbaye,Hesbaye,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
1,NA,1,NA,"Artru, S., Garre, S., Dupraz, C., Hiel, M. P., Blitz-Frayret, C. and Lassois, L.","Impact of spatio-temporal shade dynamics on wheat growth and yield, perspectives for temperate agroforestry",Belgium,Hesbaye,Hesbaye,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
2,2,1,NA,"Artru, S., Lassois, L., Vancutsem, F., Reubens, B. and Garre, S.",Sugar beet development under dynamic shade environments in temperate conditions,Belgium,Hesbaye,Hesbaye,NA,Beta vulgaris,Beta,vulgaris,NA,Sugar crops
2,NA,1,NA,"Artru, S., Lassois, L., Vancutsem, F., Reubens, B. and Garre, S.",Sugar beet development under dynamic shade environments in temperate conditions,Belgium,Hesbaye,Hesbaye,NA,Pisum sativum,Pisum,sativum,NA,Pulses
2,NA,1,NA,"Artru, S., Lassois, L., Vancutsem, F., Reubens, B. and Garre, S.",Sugar beet development under dynamic shade environments in temperate conditions,Belgium,Hesbaye,Hesbaye,NA,Sinapsis alba,Sinapsis,alba,NA,Oil crops
3,3,1,NA,"Bainard, L. D., Koch, A. M., Gordon, A. M., Newmaster, S. G., Thevathasan, N. V. and Klironomos, J. N.",Influence of trees on the spatial structure of arbuscular mycorrhizal communities in a temperate tree-based intercropping system,Canada,Ontario,Ontario,NA,Zea mays,Zea,mays,NA,Cereals
3,NA,1,NA,"Bainard, L. D., Koch, A. M., Gordon, A. M., Newmaster, S. G., Thevathasan, N. V. and Klironomos, J. N.",Influence of trees on the spatial structure of arbuscular mycorrhizal communities in a temperate tree-based intercropping system,Canada,Ontario,Ontario,NA,Glycine max,Glycine,max,NA,Pulses
3,NA,1,NA,"Bainard, L. D., Koch, A. M., Gordon, A. M., Newmaster, S. G., Thevathasan, N. V. and Klironomos, J. N.",Influence of trees on the spatial structure of arbuscular mycorrhizal communities in a temperate tree-based intercropping system,Canada,Ontario,Ontario,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
5,5,1,NA,"Benjamin, T. J., Hoover, W. L., Seifert, J. R. and Gillespie, A. R.",Defining competition vectors in a temperate alley cropping system in the midwestern USA - 4. The economic return of ecological knowledge,USA,Midwest,Indiana,NA,Zea mays,Zea,mays,NA,Cereals
5,NA,1,NA,"Benjamin, T. J., Hoover, W. L., Seifert, J. R. and Gillespie, A. R.",Defining competition vectors in a temperate alley cropping system in the midwestern USA - 4. The economic return of ecological knowledge,USA,Midwest,Indiana,NA,Glycine max,Glycine,max,NA,Pulses
5,NA,1,NA,"Benjamin, T. J., Hoover, W. L., Seifert, J. R. and Gillespie, A. R.",Defining competition vectors in a temperate alley cropping system in the midwestern USA - 4. The economic return of ecological knowledge,USA,Midwest,Indiana,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
6,6,1,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Canada,Quebec,Saint Rémi Quebec,NA,Glycine max,Glycine,max,NA,Pulses
6,NA,1,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Canada,Quebec,Saint Rémi Quebec,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
6,NA,2,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Canada,Quebec,Saint-Édouard-de-Maskinonge,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
6,NA,2,NA,"Bergeron, M., Lacombe, S., Bradley, R. L., Whalen, J., Cogliastro, A., Jutras, M. F. and Arp, P.",Reduced soil nutrient leaching following the establishment of tree-based intercropping systems in eastern Canada,Canada,Quebec,Saint-Édouard-de-Maskinonge,NA,Trifolium repens,Trifolium,repens,NA,Forage crops
7,7,1,NA,"Beule, L., Corre, M. D., Schmidt, M., Göbel, L., Veldkamp, E. and Karlovsky, P.","Conversion of monoculture cropland and open grassland to agroforestry alters the abundance of soil bacteria, fungi and soil-N-cycling genes",Germany,Dornburg,Thuringia,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
7,NA,1,NA,"Beule, L., Corre, M. D., Schmidt, M., Göbel, L., Veldkamp, E. and Karlovsky, P.","Conversion of monoculture cropland and open grassland to agroforestry alters the abundance of soil bacteria, fungi and soil-N-cycling genes",Germany,Dornburg,Thuringia,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
7,NA,1,NA,"Beule, L., Corre, M. D., Schmidt, M., Göbel, L., Veldkamp, E. and Karlovsky, P.","Conversion of monoculture cropland and open grassland to agroforestry alters the abundance of soil bacteria, fungi and soil-N-cycling genes",Germany,Dornburg,Thuringia,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
8,8,1,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Jena,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
8,NA,1,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Jena,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
8,NA,1,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Jena,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
8,NA,2,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Cottbus,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
8,NA,2,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Cottbus,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
8,NA,2,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Cottbus,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
8,NA,2,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Cottbus,NA,Zea mays,Zea,mays,NA,Cereals
8,NA,3,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Göttingen,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
8,NA,3,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Göttingen,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
8,NA,3,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Göttingen,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
8,NA,4,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Braunschweig,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
8,NA,4,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Braunschweig,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
8,NA,4,NA,"Beule, L., Lehtsaar, E., Rathgeb, A. and Karlovsky, P.",Crop diseases and mycotoxin accumulation in temperate agroforestry systems,Germany,Several locations,Braunschweig,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
9,9,1,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Thuringia,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
9,NA,1,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Thuringia,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
9,NA,1,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Thuringia,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
9,NA,2,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Niedersachsen,NA,Triticum aestivum,Triticum,aestivum,NA,Cereals
9,NA,2,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Niedersachsen,NA,Brassica napus subsp. napus,Brassica,napus subsp. napus,NA,Oil crops
9,NA,2,NA,"Beuschel, R., Piepho, H. P., Joergensen, R. G. and Wachendorf, C.",Similar spatial patterns of soil quality indicators in three poplar-based silvo-arable alley cropping systems in Germany,Germany,Several locations,Niedersachsen,NA,Hordeum vulgare,Hordeum,vulgare,NA,Cereals
